source_id,region_text
simons_searchlight,15q11.2
simons_searchlight,15q13.3
simons_searchlight,15q15
simons_searchlight,15q24
simons_searchlight,16p11.2
simons_searchlight,16p12.2
simons_searchlight,16p13.11
simons_searchlight,16p13.3
simons_searchlight,17p13.3
simons_searchlight,17q11.2
simons_searchlight,17q12
simons_searchlight,17q21.31
simons_searchlight,1q21.1
simons_searchlight,2p16.3
simons_searchlight,2q34
simons_searchlight,2q37
simons_searchlight,5q35
simons_searchlight,6q16
simons_searchlight,7q11.23
simons_searchlight,9q34
simons_searchlight,9q34.3
simons_searchlight,deletion
simons_searchlight,duplication
