org_name,gene,url,org_type,registry_platform,registry_url,natural_history_study,coalitions,contact,fda_report,notes
ADNP Kids Research Foundation,ADNP,https://adnpkids.com/,foundation,Citizen,,,,,,ADNP Syndrome / Helsmoortel-Van der Aa Syndrome; registry: ADNP registry through partners; Citizen Health partnership
ADNP Kids Foundation,ADNP,,foundation,,,,,,,
Coffin-Siris Syndrome Foundation,ARID1B,https://www.coffinsiris.org/,foundation,Foundation-hosted,,,,,,Coffin-Siris Syndrome 1 (ARID1B-related); registry: CSS Foundation registry; Simons Searchlight
CSS Network,ARID1B,,foundation,,,,,,,
Foundation for ARID1B Research,ARID1B,,foundation,,,,,,,
Simons Searchlight ARX Facebook community,ARX,,family group,,,,,,,"ARX-related disorders (XLAG, Partington, ISSX); registry: Captured under Simons Searchlight and broader DEE registries"
CACNA1A Foundation,CACNA1A,https://www.cacna1a.org,foundation,Foundation-hosted,https://www.cacna1a.org/participate-research,,,info@cacna1a.org,,"CACNA1A-related disorders (EA2, FHM1, SCA6, DEE42); registry: CACNA1A Foundation registry (in development)"
International Foundation for CDKL5 Research,CDKL5,https://www.cdkl5.com,foundation,REDCap,https://cdkl5.com/help-our-researchers,,,info@cdkl5.com,EL-PFDD Meeting (2019),CDKL5 Deficiency Disorder (CDD); registry: International CDKL5 Disorder Database (ICDD)
Loulou Foundation,CDKL5,,foundation,,,,,,,
Coalition to Cure CHD2,CHD2,https://www.curechd2.org,foundation,Citizen,https://www.curechd2.org/rare-x,,,info@curechd2.org,,CHD2-related neurodevelopmental disorder / DEE; registry: Citizen Health partnership; building dedicated registry
Batten Disease Support and Research Association,CLN3,https://bdsra.org,foundation,REDCap,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,,,,,"Juvenile Neuronal Ceroid Lipofuscinosis (Batten Disease, CLN3); registry: DEM-CHILD database (international Batten registry); BDSRA registry"
Beyond Batten Disease Foundation,CLN3,,foundation,,,,,,,
Noah's Hope/Hope4Bridget,CLN3,,foundation,,,,,,,
multiple country orgs,CLN3,,foundation,,,,,,,
ForeBatten Foundation,CLN3,,foundation,,,,,,,
CSNK2A1 Foundation,CSNK2A1,https://www.csnk2a1foundation.org/,foundation,REDCap,https://www.csnk2a1foundation.org/contact-registry,,,info@csnk2a1foundation.org,Patient Listening Session (2024),Okur-Chung Neurodevelopmental Syndrome (OCNDS); registry: CSNK2A1 Foundation registry; Brain Gene Registry partnership
DDX3X Foundation,DDX3X,https://ddx3x.org/,foundation,Citizen,https://ddx3x.org/registry/,,,,,DDX3X Syndrome (Toriello-Carey-like; X-linked); registry: DDX3X Foundation registry; Citizen Health partnership
IDefine,EHMT1,https://www.idefine.org/,foundation,Citizen,,,,,,Kleefstra Syndrome (9q34.3 deletion / EHMT1); registry: IDefine registry; RARE-X / Citizen Health platforms; Simons Searchlight
Kleefstra Syndrome International,EHMT1,https://kleefstrasyndrome.org/,foundation,,,,,,,
Kleefstra Syndrome UK,EHMT1,,foundation,,,,,,,
FOXG1 Research Foundation (FRF),FOXG1,https://www.foxg1research.org/,foundation,Foundation-hosted,https://www.foxg1research.org/,yes,,contact@foxg1research.org,,FOXG1 Syndrome (congenital Rett variant); registry: FRF NH/registry program
FOXG1 Research Foundation,FOXG1,,foundation,,,,,,,
International FOXG1 Foundation,FOXG1,,foundation,,,,,,,
International FOXP1 Foundation,FOXP1,https://www.foxp1.org/,foundation,REDCap,,,,,,FOXP1 Syndrome (intellectual disability with language impairment + autism); registry: FOXP1 Foundation registry; Simons Searchlight
FOXP1 Foundation Facebook Group,FOXP1,,family group,,,,,,,
Fundación Internacional FOXP1,FOXP1,,foundation,,,,,,,
Simons Searchlight Facebook group,FOXP1,,family group,,,,,,,
Bow Foundation,GNAO1,https://gnao1.org/,foundation,Pulse Infoframe,https://gnao1.org/gnao1-international-patient-registry/,,,,,"GNAO1-related neurodevelopmental disorder (DEE17); registry: GNAO1 International Patient Registry (Bow Foundation, hosted via Invitae PIN)"
Famiglie GNAO1,GNAO1,,foundation,,,,,,,
CureGRIN Foundation,GRIN1,https://curegrin.org/,foundation,REDCap,https://curegrin.org/gri-registry/ | https://grin2b.com/grin-registry/ | https://curegrin.org/gricensus/,,,,,GRIN1-related neurodevelopmental disorder (DEE8); registry: CureGRIN registry; Combined Brain partnership
CureGRIN,GRIN1,,foundation,,,,,,,
GRIN1 Parent Support Group,GRIN1,,foundation,,,,,,,
CureGRIN Foundation,GRIN2A,https://curegrin.org/,foundation,Foundation-hosted,https://curegrin.org/gri-registry/ | https://grin2b.com/grin-registry/ | https://curegrin.org/gricensus/,,,,,"GRIN2A-related disorders (epilepsy-aphasia spectrum, LKS, CSWS); registry: CureGRIN registry; Combined Brain partnership"
GRI Center of Excellence,GRIN2A,,foundation,,,,,,,
CureGRIN,GRIN2A,,foundation,,,,,,,
GRIN2B Foundation,GRIN2B,http://grin2b.com/,foundation,Foundation-hosted,https://grin2b.com/register/,,,info@grin2b.com,,GRIN2B-related neurodevelopmental disorder (DEE/NDD); registry: GRIN2B Foundation registry; Combined Brain partnership 2024
CureGRIN,GRIN2B,,foundation,,,,,,,
