gene,hgnc_id,el_tier,disorder,foundation,foundation_url,registry,registry_url,platforms,simons_enrolled,cords,therapeutics,fda_report,fda_report_url,contact_email,linkedin,facebook,instagram,youtube,net_pags
ADNP,HGNC:15766,1,ADNP Syndrome / Helsmoortel-Van der Aa Syndrome,ADNP Kids Research Foundation,https://adnpkids.com/,ADNP registry through partners; Citizen Health partnership,,Foundation-hosted (ADNP Kids registry); Citizen Health; Simons Searchlight (SFARI Base); Sanford CoRDS,Yes (ADNP enrolled),Yes ('ADNP syndrome'),"Davunetide/NAP peptide (Coronis Neurosciences, Phase 2 completed); ketamine (academic); preclinical ASOs",,,,,ADNP Kids FB,@adnpkids,,ADNP Kids Foundation
ARID1B,HGNC:18040,1,Coffin-Siris Syndrome 1 (ARID1B-related),Coffin-Siris Syndrome Foundation; CSS Network,https://www.coffinsiris.org/,CSS Foundation registry; Simons Searchlight,,Foundation-hosted (CSS Foundation registry); Simons Searchlight (SFARI Base); Sanford CoRDS,Yes (ARID1B enrolled),Yes ('Coffin-Siris syndrome'),Preclinical only,,,,,CSS Foundation FB,@coffinsiris,,Coffin-Siris Syndrome Foundation; Foundation for ARID1B Research
ARX,HGNC:18060,1,"ARX-related disorders (XLAG, Partington, ISSX)",Small parent-led groups; no large dedicated foundation. Listed on Simons Searchlight.,,Captured under Simons Searchlight and broader DEE registries,,Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella),Yes,Umbrella (DEE/ID),Preclinical only,,,,,Small private FB groups,,,Simons Searchlight ARX Facebook community
CACNA1A,HGNC:1388,1,"CACNA1A-related disorders (EA2, FHM1, SCA6, DEE42)",CACNA1A Foundation,https://www.cacna1a.org,CACNA1A Foundation registry (in development),https://www.cacna1a.org/participate-research,"Foundation-hosted (CACNA1A Foundation, in development); Combined Brain biorepository; Sanford CoRDS",No,Yes ('CACNA1A gene mutation'),Off-label acetazolamide / 4-AP; preclinical ASO/gene therapy,,,info@cacna1a.org,https://www.linkedin.com/company/cacna1a-foundation,https://www.facebook.com/cacna1a/,https://www.instagram.com/cacna1afoundation/,https://www.youtube.com/channel/UCLAdwdzmAGfDRh5J8hZ7BaQ/featured,CACNA1A Foundation
CDKL5,HGNC:11411,1,CDKL5 Deficiency Disorder (CDD),International Foundation for CDKL5 Research (IFCR); Loulou Foundation,https://www.cdkl5.com,International CDKL5 Disorder Database (ICDD),https://cdkl5.com/help-our-researchers,"Academic / REDCap (ICDD, International CDKL5 Disorder Database, U Western Australia); Sanford CoRDS; ClinicalTrials.gov NH studies",No,Yes ('CDKL5-related epileptic encephalopathy'),"Marinus Pharma, Ztalmy/ganaxolone (FDA-approved 2022 for CDD ≥2yo); Ultragenyx; Stoke Therapeutics; multiple gene therapy programs",EL-PFDD Meeting (2019),https://www.fda.gov/industry/prescription-drug-user-fee-amendments/condition-specific-meeting-reports-and-other-information-related-patients-experience,info@cdkl5.com,https://www.linkedin.com/company/international-foundation-for-cdkl5-research/,https://www.facebook.com/IFCR1/,https://www.instagram.com/ifcr1/,https://www.youtube.com/@IFCR1,Loulou Foundation
CHD2,HGNC:1917,1,CHD2-related neurodevelopmental disorder / DEE,Coalition to Cure CHD2 (CCC),https://www.curechd2.org,Citizen Health partnership; building dedicated registry,https://www.curechd2.org/rare-x,Citizen Health; Combined Brain biorepository; Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella),Yes (CHD2 enrolled),Umbrella (DEE/ID),Preclinical: ASO programs; CHASERR-targeted approaches; gene therapy,,,info@curechd2.org,https://www.linkedin.com/company/curechd2,https://www.facebook.com/curechd2.org/,https://www.instagram.com/coalitiontocurechd2/,https://www.youtube.com/@coalitiontocurechd2632,Coalition to Cure CHD2
CLN3,HGNC:2074,1,"Juvenile Neuronal Ceroid Lipofuscinosis (Batten Disease, CLN3)",Batten Disease Support and Research Association (BDSRA); Beyond Batten Disease Foundation; Noah's Hope/Hope4Bridget; multiple country orgs,https://bdsra.org,DEM-CHILD database (international Batten registry); BDSRA registry,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,"Academic / REDCap (DEM-CHILD international Batten DB); Foundation-hosted (BDSRA registry); NIH RDCRN (UBDRC, University Batten Disease Research Consortium); Sanford CoRDS",No,Yes ('Juvenile neuronal ceroid lipofuscinosis'),Miglustat (off-label); Beyond Batten BBDF-101 (academic gene therapy); preclinical AAV; multiple academic programs,,,,,BDSRA FB; multiple family pages,@bdsra; @beyondbatten,,ForeBatten Foundation
CSNK2A1,HGNC:2457,1,Okur-Chung Neurodevelopmental Syndrome (OCNDS),CSNK2A1 Foundation,https://www.csnk2a1foundation.org/,CSNK2A1 Foundation registry; Brain Gene Registry partnership,https://www.csnk2a1foundation.org/contact-registry,Foundation-hosted (CSNK2A1 Foundation registry); Academic / REDCap (Brain Gene Registry); Combined Brain biorepository; Simons Searchlight (SFARI Base); Sanford CoRDS,Yes (CSNK2A1 enrolled),Yes ('Okur-Chung neurodevelopmental syndrome'),Preclinical screens; small molecule programs,Patient Listening Session (2024),https://www.fda.gov/patients/learn-about-fda-patient-engagement/patient-listening-session-summaries,info@csnk2a1foundation.org,https://www.linkedin.com/company/csnk2a1-foundation,https://www.facebook.com/csnk2a1/,https://www.instagram.com/csnk2a1_foundation/,https://www.youtube.com/@csnk2a1foundation86,CSNK2A1 Foundation
DDX3X,HGNC:2745,1,DDX3X Syndrome (Toriello-Carey-like; X-linked),DDX3X Foundation,https://ddx3x.org/,DDX3X Foundation registry; Citizen Health partnership,https://ddx3x.org/registry/,Foundation-hosted (DDX3X Foundation registry); Citizen Health; Simons Searchlight (SFARI Base); Sanford CoRDS,Yes (DDX3X enrolled),Yes ('DDX3X syndrome'),Preclinical research; gene therapy and ASOs in early stages,,,,https://www.linkedin.com/company/ddx3x-foundation,https://www.facebook.com/ddx3xfoundation/,https://www.instagram.com/ddx3xfoundation/,,DDX3X Foundation
EHMT1,HGNC:24650,1,Kleefstra Syndrome (9q34.3 deletion / EHMT1),IDefine; Kleefstra Syndrome International (KSI),https://www.idefine.org/; https://kleefstrasyndrome.org/,IDefine registry; RARE-X / Citizen Health platforms; Simons Searchlight,,Foundation-hosted (IDefine registry); RARE-X / Global Genes; Citizen Health; Simons Searchlight (SFARI Base); Sanford CoRDS,Yes (EHMT1 enrolled),Yes ('Kleefstra syndrome'),Preclinical: histone methyltransferase modulators; ASOs in early stages,,,,,IDefine FB; Kleefstra Syndrome International FB,@idefine_research,,IDefine; Kleefstra Syndrome UK
FOXG1,HGNC:3811,1,FOXG1 Syndrome (congenital Rett variant),FOXG1 Research Foundation (FRF),https://www.foxg1research.org/,FRF NH/registry program,https://www.foxg1research.org/,Foundation-hosted (FRF NH/registry); Sanford CoRDS,No,Yes ('FOXG1 syndrome'),Gene therapy in development (academic); ASO programs (preclinical); FRF-funded translational pipeline,,,contact@foxg1research.org,https://www.linkedin.com/company/foxg1research,https://www.facebook.com/foxg1research/,https://www.instagram.com/foxg1research/,https://www.youtube.com/c/FOXG1ResearchFoundation,FOXG1 Research Foundation; International FOXG1 Foundation
FOXP1,HGNC:3823,1,FOXP1 Syndrome (intellectual disability with language impairment + autism),International FOXP1 Foundation,https://www.foxp1.org/,FOXP1 Foundation registry; Simons Searchlight,,Foundation-hosted (International FOXP1 Foundation); Academic / REDCap (Mt Sinai Seaver Center); Simons Searchlight (SFARI Base); Sanford CoRDS,Yes (FOXP1 enrolled),Yes ('FOXP1 syndrome'),Preclinical; mechanistic studies dominant,,,,,FOXP1 Foundation FB,@foxp1foundation,,FOXP1 Foundation Facebook Group; Fundación Internacional FOXP1; Simons Searchlight Facebook group
GNAO1,HGNC:4389,1,GNAO1-related neurodevelopmental disorder (DEE17),Bow Foundation,https://gnao1.org/,"GNAO1 International Patient Registry (Bow Foundation, hosted via Invitae PIN)",https://gnao1.org/gnao1-international-patient-registry/,"Pulse Infoframe (Invitae Patient Insight Network, hosting Bow Foundation registry); ClinicalTrials.gov NH study (NCT04950946, UVA); Sanford CoRDS",No,Yes ('GNAO1-related neurodevelopmental disorder'),Preclinical AAV gene therapy (Esteves UMass + Neubig MSU); zebrafish drug repurposing (Baraban UCSF),,,,,Bow Foundation FB,@bowfoundation,,Famiglie GNAO1; Bow Foundation
GRIN1,HGNC:4584,1,GRIN1-related neurodevelopmental disorder (DEE8),CureGRIN Foundation (umbrella for GRIN/GRIA/GRID/GRIK family),https://curegrin.org/,CureGRIN registry; Combined Brain partnership,https://curegrin.org/gri-registry/ | https://grin2b.com/grin-registry/ | https://curegrin.org/gricensus/,Foundation-hosted (CureGRIN registry); Combined Brain biorepository; Academic / REDCap (Children's Colorado GRI Center); Sanford CoRDS (umbrella),No,Umbrella (GRIN umbrella),"Memantine repurposing (GoF); L-Serine clinical trial (LoF, GRIN2B-led but GRIN1 candidates); preclinical prime editing (Tel Aviv); preclinical ASO",,,,https://www.linkedin.com/company/curegrin,https://www.facebook.com/cureGRIN/,https://www.instagram.com/curegrin_foundation/,https://www.youtube.com/c/CureGRINFoundation,CureGRIN; GRIN1 Parent Support Group
GRIN2A,HGNC:4585,1,"GRIN2A-related disorders (epilepsy-aphasia spectrum, LKS, CSWS)",CureGRIN Foundation; GRI Center of Excellence (covers GRIN/GRIA/GRID/GRIK),https://curegrin.org/,CureGRIN registry; Combined Brain partnership,https://curegrin.org/gri-registry/ | https://grin2b.com/grin-registry/ | https://curegrin.org/gricensus/,Foundation-hosted (CureGRIN registry); Combined Brain biorepository; Simons Searchlight (SFARI Base); Sanford CoRDS,Yes (GRIN2A enrolled),Yes ('Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation'),Memantine repurposing; preclinical ASOs; receptor modulators,,,,https://www.linkedin.com/company/curegrin,https://www.facebook.com/cureGRIN/,https://www.instagram.com/curegrin_foundation/,https://www.youtube.com/c/CureGRINFoundation,CureGRIN
GRIN2B,HGNC:4586,1,GRIN2B-related neurodevelopmental disorder (DEE/NDD),GRIN2B Foundation; CureGRIN,http://grin2b.com/,GRIN2B Foundation registry; Combined Brain partnership 2024,https://grin2b.com/register/,Foundation-hosted (GRIN2B Foundation registry); Combined Brain biorepository; Simons Searchlight (SFARI Base),Yes (GRIN2B enrolled),Yes (via GRIN umbrella),Stoke Therapeutics ASO program; multiple receptor modulators,,,info@grin2b.com,https://www.linkedin.com/company/grin2b-foundation,https://www.facebook.com/grin2b/,https://www.instagram.com/grin2bfoundation/,https://www.youtube.com/@grin2bfoundation899,2BCURED; CureGRIN; GRI France; GRIN Europe; GRIN2B Foundation
