org_name,gene,url,country,org_type,natural_history_study,notes
17q12 Foundation,,http://www.chromo17q12.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: 17q12 deletion syndrome; founded 2017
1p36 Deletion Support & Awareness,,http://www.1p36dsa.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: 1p36 Deletion Syndrome; founded 2009
A Cure for Ellie,,https://acureforellie.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Leukoencephalopathy with Brain Stem and Spinal Cord Involvement and Lactate Elevation; founded 2013
ACDY5.org,ACDY5;ADCY5,https://www.adcy5.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: ADCY5-related dyskinesia; biobank; founded 2017
ADNP-Kids Research Foundation,ADNP,https://www.adnpfoundation.org/,United States of America,foundation,no,EveryCure RDNP list; focus: Helsmoortel Van Der Aa Syndrome; founded 2016
ALD Alliance,,https://www.aldalliance.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Adrenoleukodystrophy; founded 2013
ALD Connect,,https://aldconnect.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Adrenoleukodystrophy; biobank; founded 2013
"Angelman Syndrome Foundation, Inc.",,https://www.angelman.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Angelman Syndrome; founded 1992
AXYS,,https://genetic.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Sex Chromosome Aneuploidy disorders; founded 1989
Batten Disease Support and Research Association,,https://www.bdsra.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Batten disease; founded 1987
Beyond Batten Disease Foundation,,https://beyondbatten.org,United States of America,foundation,yes,EveryCure RDNP list; focus: Batten disease; founded 2016
Bridge the Gap – SYNGAP Education and Research Foundation,SYNGAP1,https://www.bridgesyngap.org,United States of America,foundation,yes,EveryCure RDNP list; focus: SYNGAP1-reated syndrome; founded 2014
CACNA1A Foundation,CACNA1A,https://www.cacna1a.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: CACNA1A-related disorders; biobank; founded 2020
CADASIL Together We Have Hope,,https://www.cadasilfoundation.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy; biobank; founded 1995
CHAMP1 Research Foundation,CHAMP1,https://champ1foundation.org/,United States of America,foundation,yes,"EveryCure RDNP list; focus: Developmental delay, hypotonia, cerebral palsy, autism, and epilepsy among many other diagnoses a result of a change in the CHAMP1 gene.; biobank; founded 2018"
Charlotte & Gwenyth Gray Foundation to Cure Batten Disease,,https://www.curebatten.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Batten disease; founded 2016
Cheyanna’s Champions 4 Children (CC4C),CC4C,https://www.cc4c.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Rare diseases NOS; founded 2012
Chromosome 18 Registry & Research Society,,https://www.chromosome18.org/,United States of America,foundation,unknown,"EveryCure RDNP list; focus: The organizations focuses on chromosome 18 conditions. These include 18p-, 18q-, Ring 18, Tetrasomy 18p, Trisomy 18,  Pitt Hopkins Syndrome, translocations, par; founded 1990"
"Chromosome Disorder Outreach, Inc.",,https://chromodisorder.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Chromosome disorders NOS; founded 1992
Citizens United for Research in Epilepsy,,https://www.cureepilepsy.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Rare epilepsy; founded 1998
COL4A1 Foundation,COL4A1,https://gouldsyndromefoundation.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Gould syndrome; founded 2018
