condition,gene,meeting_type,host,date,resource
Adult-Onset Leukoencephalopathy with Axonal Spheroids and Pigmented Glia (ALSP),,EL-PFDD Meeting,Sisters’ Hope Foundation,"June 20,2025",Report pending
Adult-Onset Leukoencephalopathy with Axonal Spheroids and Pigmented Glia (ALSP),,Patient Listening Session,,2024-01-17 00:00:00,Patient Listening Session Summary
Angelman Syndrome,UBE3A,EL-PFDD Meeting,Foundation for Angelman Syndrome Therapeutics (FAST) and the Angelman Syndrome Foundation (ASF),2025-04-07 00:00:00,Meeting ReportExternal Link Disclaimer
Autism (ASD),,FDA-led PFDD Meeting,,2017-05-04 00:00:00,Agenda
Childhood Cerebral Adrenal Leukodystrophy (CCALD),,Patient Listening Session,,2019-11-13 00:00:00,Patient Listening Session Summary
Complement 3 Glomerulopathy (C3G),C3G,EL-PFDD Meeting,National Kidney Foundation,2017-08-04 00:00:00,Meeting ReportExternal Link Disclaimer
Cyclin-dependent kinase-like 5 deficiency disorder (CDKL5/CDD),CDKL5,EL-PFDD Meeting,Loulou Foundation and the International Foundation for CDKL5 Research (IFCR),2019-11-01 00:00:00,Meeting ReportExternal Link Disclaimer
Developmental and Epileptic Encephalopathy (DEE),,Patient Listening Session,,2024-11-22 00:00:00,Patient Listening Session Summary
Developmental and Epileptic Encephalopathy (DEE),,EL-PFDD Meeting,Lennox-Gastaut Syndrome Foundation,2019-11-01 00:00:00,MeetingExternal Link Disclaimer
DLG4-related synaptopathy,DLG4,Patient Listening Session,,2024-07-17 00:00:00,Patient Listening Session Summary
Dravet Syndrome (DS),SCN1A,EL-PFDD Meeting,The Dravet Syndrome Foundation,2022-02-03 00:00:00,Meeting ReportExternal Link Disclaimer
GM1 gangliosidosis,GM1,EL-PFDD Meeting,Cure GM1 Foundation,2022-10-14 00:00:00,Meeting ReportExternal Link Disclaimer
GM2 gangliosidoses (Tay-Sachs and Sandhoff diseases),GM2,EL-PFDD Meeting,National Tay-Sachs & Allied Diseases Association (NTSAD),2024-02-15 00:00:00,Meeting ReportExternal Link Disclaimer
Juvenile onset forms of GM1 gangliosidosis and GM2 gangliosidoses (Tay-Sachs and Sandhoff),GM1;GM2,Patient Listening Session,,2025-08-28 00:00:00,Patient Listening Session Summary
KCNT1-Related Epilepsy,KCNT1,Patient Listening Session,,2024-04-22 00:00:00,Patient Listening Session Summary
Late Onset GM2 gangliosidoses (Tay-Sachs and Sandhoff Diseases),GM2,Patient Listening Session,,2021-01-15 00:00:00,Patient Listening Session Summary
Leukoencephalopathy and Brain Stem Involvement and Lactate Elevation (LBSL),,EL-PFDD Meeting,Cure LBSL,2025-08-01 00:00:00,Report pending
Leukoencephalopathy with Calcifications and Cysts (LCC),,Patient Listening Session,,2025-07-11 00:00:00,Patient Listening Session Summary
MECP2 Duplication Syndrome (MDS),MECP2,Patient Listening Session,,2025-04-03 00:00:00,Patient Listening Session Summary
MEF2C Haploinsufficiency Syndrome (MCHS),MEF2C,Patient Listening Session,,2024-09-19 00:00:00,Patient Listening Session Summary
Metachromatic Leukodystrophy (MLD),,EL-PFDD Meeting,"Cure MLD, The Calliope Joy Foundation, MLD Foundation, The United Leukodystrophy Foundation, and the Global Leukodystrophy Initiative",2022-10-21 00:00:00,Meeting ReportExternal Link Disclaimer
Mitochondrial Disease,,EL-PFDD Meeting,United Mitochondrial Disease Foundation,2019-03-29 00:00:00,Meeting ReportExternal Link Disclaimer
Mitochondrial Encephalomyopathy Lactic Acidosis and Stroke-Like Episodes Syndrome (MELAS),,EL-PFDD Meeting,MitoAction,2026-02-10 00:00:00,Report pending
Neurofibromatosis Type 1 (NF1)/ Cutaneous Neurofibroma (cNF),NF1,Patient Listening Session,,2024-05-21 00:00:00,Patient Listening Session Summary
Okur-Chung Neurodevelopmental Syndrome (OCNDS),,Patient Listening Session,,2024-07-23 00:00:00,Patient Listening Session Summary
"Peroxisomal Disorders: Zellweger spectrum disorder (ZSD), acyl-CoA oxidase 1 deficiency (ACOX1), D-bifunctional protein deficiency (DPBD), and 2-methylacyl-CoA racemase deficiency (AMACR)",ACOX1,EL-PFDD Meeting,The Global Foundation for Peroxisomal Disorders (GFPD),2024-05-28 00:00:00,Meeting ReportExternal Link Disclaimer
Phelan-McDermid Syndrome (PMS),SHANK3,EL-PFDD Meeting,CureSHANK,2022-11-08 00:00:00,Meeting ReportExternal Link Disclaimer
Progressive Multifocal Leukoencephalopathy (PML),,Patient Listening Session,,"July 22, 2020 – Session 1",Patient Listening Session Summary – Session 1
