gene,gene_family,opathy,basis
ADNP,,chromatinopathy,editor
ARID1B,BAF/SWI-SNF complex (SMARC/ARID),BAFopathy (chromatin),EpilepsyLive family
ARX,,,
CACNA1A,Voltage-gated calcium channels (CACNA),channelopathy (voltage-gated Ca),EpilepsyLive family
CDKL5,,Rett and related,editor
CHD2,Chromodomain helicases (CHD),chromatinopathy (CHD),editor
CLN3,,neuronal ceroid lipofuscinosis (lysosomal),editor
CSNK2A1,,,
DDX3X,,,
EHMT1,,chromatinopathy,editor
FOXG1,,Rett and related,editor
FOXP1,,,
GNAO1,,,
GRIN1,Ionotropic glutamate receptors (GRIN/GRIA/GRIK),channelopathy (ligand-gated: GRIN/GRIA/GRIK),EpilepsyLive family
GRIN2A,Ionotropic glutamate receptors (GRIN/GRIA/GRIK),channelopathy (ligand-gated: GRIN/GRIA/GRIK),EpilepsyLive family
GRIN2B,Ionotropic glutamate receptors (GRIN/GRIA/GRIK),channelopathy (ligand-gated: GRIN/GRIA/GRIK),EpilepsyLive family
KCNB1,"Potassium channels, Kv2 (KCNB)",channelopathy (K),EpilepsyLive family
MECP2,,Rett and related (chromatin),editor
MED13L,Mediator complex (MED),Mediator complex disorder,EpilepsyLive family
MEF2C,,,
PCDH19,,,
POLG,,mitochondrial disorder,editor
PPP2R5D,PP2A subunits (PPP2),PP2A-related disorder,EpilepsyLive family
PURA,,,
SATB2,,,
SCN1A,Voltage-gated sodium channels (SCN),channelopathy (voltage-gated Na),EpilepsyLive family
SCN2A,Voltage-gated sodium channels (SCN),channelopathy (voltage-gated Na),EpilepsyLive family
SCN8A,Voltage-gated sodium channels (SCN),channelopathy (voltage-gated Na),EpilepsyLive family
SETBP1,,chromatinopathy,editor
SHANK3,,synaptopathy,editor
SLC13A5,,transporter disorder,editor
SLC6A1,,transporter disorder (GAT1),editor
STXBP1,,synaptopathy,editor
SYNGAP1,,synaptopathy,editor
TANGO2,,metabolic disorder,editor
TBCK,,,
TSC1,,mTORopathy,editor
TSC2,,mTORopathy,editor
UBE3A,,,
YWHAG,,,
ALDH7A1,,metabolic disorder (PDE),editor
