source_id,region_text,simons_on_list,simons_list_version,simons_page_url,simons_report_url
simons_searchlight,15q11.2,,,,
simons_searchlight,15q13.3,,,,
simons_searchlight,15q15,,,,
simons_searchlight,15q24,,,,
simons_searchlight,16p11.2,,,,
simons_searchlight,16p12.2,,,,
simons_searchlight,16p13.11,,,,
simons_searchlight,16p13.3,,,,
simons_searchlight,17p13.3,,,,
simons_searchlight,17q11.2,,,,
simons_searchlight,17q12,,,,
simons_searchlight,17q21.31,,,,
simons_searchlight,1q21.1,,,,
simons_searchlight,2p16.3,,,,
simons_searchlight,2q34,,,,
simons_searchlight,2q37,,,,
simons_searchlight,5q35,,,,
simons_searchlight,6q16,,,,
simons_searchlight,7q11.23,,,,
simons_searchlight,9q34,,,,
simons_searchlight,9q34.3,,,,
simons_searchlight,deletion,,,,
simons_searchlight,duplication,,,,
simons_gene_list,1q21.1,yes,2024-11,,
simons_gene_list,2p16.3 deletion,yes,2024-11,https://www.simonssearchlight.org/research/what-we-study/2p16-3-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115332/2p16.3-deletion-NRXN1-25Q3.pdf
simons_gene_list,2q34 duplication,yes,2024-11,,
simons_gene_list,2q37 deletion,yes,2024-11,,
simons_gene_list,5p deletion,yes,2024-11,https://www.simonssearchlight.org/research/what-we-study/5p-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115413/5p-deletion-25Q3.pdf
simons_gene_list,5q35,yes,2024-11,,
simons_gene_list,6q16 deletion,yes,2024-11,,
simons_gene_list,7q11.23 duplication,yes,2024-11,https://www.simonssearchlight.org/research/what-we-study/7q11-23-duplication/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115338/7q11.23-duplication-25Q3.pdf
simons_gene_list,9q34 duplication,yes,2024-11,,
simons_gene_list,9q34.3 deletion,yes,2024-11,,
simons_gene_list,15q11.2 BP1-BP2 deletion,yes,2024-11,https://www.simonssearchlight.org/research/what-we-study/15q11-2-bp1-bp2-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115330/15q11.2-BP1-BP2-deletion-25Q3.pdf
simons_gene_list,15q13.3 deletion,yes,2024-11,https://www.simonssearchlight.org/research/what-we-study/15q13-3-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115336/15q13.3-deletion-25Q3.pdf
simons_gene_list,15q15 deletion,yes,2024-11,,
simons_gene_list,15q24 deletion,yes,2024-11,,
simons_gene_list,16p11.2 (proximal and distal),yes,2024-11,,
simons_gene_list,16p12.2 deletion,yes,2024-11,https://www.simonssearchlight.org/research/what-we-study/16p12-2-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115508/16p12.2-deletion-25Q3.pdf
simons_gene_list,16p13.11 deletion,yes,2024-11,https://www.simonssearchlight.org/research/what-we-study/16p13-11-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115335/16p13.11-deletion-25Q3.pdf
simons_gene_list,16p13.3 deletion,yes,2024-11,,
simons_gene_list,17p13.3 duplication,yes,2024-11,,
simons_gene_list,17q11.2 duplication,yes,2024-11,,
simons_gene_list,17q12,yes,2024-11,,
simons_gene_list,17q21.31,yes,2024-11,,
simons_gene_list,Xp11.22 duplication,yes,2024-11,,
simons_gene_list,Xq28 duplication,yes,2024-11,,
