# Epilepsy and NDD gene list, written by gene_spine.epilepsy_list after the spine
# build. Union of three branches:
#   epilepsy / both : on Genes4Epilepsy ('both' also on an NDD source)
#   ndd_only        : on an NDD or ID source, not on Genes4Epilepsy
#   epilepsy_other  : on an epilepsy panel, or ClinGen or Orphadata naming epilepsy,
#                     seizures or encephalopathy, and in neither branch above
# tier and domain are the spine's own values, carried as description, not selection.
# NDD/ID sources: panelapp_au_id, panelapp_ge_id, sysndd, g2p_dd, sfari.
# Declared but absent: none.
# SFARI: 2026-07-12 release, exported 2026-09-16. Its unscored rows count as presence and lift no tier.
# genes4epilepsy_phenotype is blank for genes that are not on Genes4Epilepsy.
# mondo_ids from sources/mondo/mondo.obo sha256 50c8367f9bd99783, 10,491 ORPHA and 10,176 OMIM xrefs.
# org_count and org_names come from epilepsy_orgs.csv, blank where there is no match.
hgnc_id,symbol,gene_name,list_membership,genes4epilepsy_phenotype,tier,domain,n_sources,sources,orphacodes,omim_id,mondo_ids,org_count,org_names
HGNC:20,AARS1,alanyl-tRNA synthetase 1,both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,228174;33364;442835,601065,MONDO:0013212;MONDO:0018053;MONDO:0018614,1,CureARS
HGNC:21022,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",both,DEE,T1,ndd_with_epilepsy,6,clingen;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_ge_epilepsy;sysndd,313808;319504;99853,612035,MONDO:0013570;MONDO:0020506;MONDO:0800027,0,
HGNC:23,ABAT,4-aminobutyrate aminotransferase,both,DEE,T1,ndd_with_epilepsy,10,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,2066,137150,MONDO:0013166,0,
HGNC:32,ABCA2,ATP binding cassette subfamily A member 2,both,DEE,T1,ndd_with_epilepsy,9,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,88616,600047,MONDO:0019502,0,
HGNC:60,ABCC9,ATP binding cassette subfamily C member 9,both,DEE,T1,ndd_with_epilepsy,7,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd,130;1517;154;334;726782;728619,601439,MONDO:0009406;MONDO:0015263;MONDO:0018054;MONDO:0700335,0,
HGNC:13921,ABHD16A,"abhydrolase domain containing 16A, phospholipase",both,DEE,T1,ndd_with_epilepsy,7,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sysndd,631085,142620,MONDO:0030673,0,
HGNC:23339,ACBD6,acyl-CoA binding domain containing 6,both,DEE,T1,ndd_with_epilepsy,5,g2p_dd;genes4epilepsy;panelapp_au_id;panelapp_ge_id;sysndd,,616352,,0,
HGNC:119,ACOX1,acyl-CoA oxidase 1,both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,2971;631248,609751,MONDO:0009919;MONDO:0030073,1,The Global Foundation for Peroxisomal Disorders (GFPD)
HGNC:132,ACTB,actin beta,both,MCD,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sfari;sysndd,2995;64755;673556;674653;79107,102630,MONDO:0011500;MONDO:0011823;MONDO:0017579;MONDO:0100433;MONDO:0975754,1,Simons Searchlight
HGNC:144,ACTG1,actin gamma 1,both,MCD,T1,ndd_with_epilepsy,8,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sysndd,2995;90635;98942;98944,102560,MONDO:0017579;MONDO:0019587;MONDO:0020354;MONDO:0020356,0,
