# One row per (organisation, gene) from the organisation sources, deduplicated on normalised website host.
# status=candidate throughout: nothing here has been reviewed, and curated/organizations.csv is untouched.
org_name,symbol,hgnc_id,url,country,org_type,registry_platform,coalitions,source_files,status
22q13 Deletion Syndrome Foundation,SHANK3,HGNC:14294,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
2BCURED,GRIN2B,HGNC:4586,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
ACD,GAMT,HGNC:4136,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
ACDY5.org,ACDY5,,https://www.adcy5.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
ACDY5.org,ADCY5,HGNC:236,https://www.adcy5.org/,United States of America,foundation,,,everycure_rdnp.csv;sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
ADCY5 registry (Citizen Health),ADCY5,HGNC:236,https://www.citizen.health/ai-advocate/adcy5,,,,,citizen_registry.csv,candidate
ADNP Kids Foundation,ADNP,HGNC:15766,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
ADNP Kids Research Foundation,ADNP,HGNC:15766,https://adnpkids.com/,,foundation,Citizen,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
ADNP-Kids Research Foundation,ADNP,HGNC:15766,https://www.adnpfoundation.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
AFSHA,ATP1A3,HGNC:801,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
AFSHA (FR),ATP1A3,HGNC:801,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
AGO Alliance,AGO1,HGNC:3262,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
AGS registry (Citizen Health),AGS,,https://www.citizen.health/ai-advocate/agsaa,,,,,citizen_registry.csv,candidate
AHC Australia,ATP1A3,HGNC:801,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
AHC Federation of Europe,ATP1A3,HGNC:801,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
AHC Foundation,ATP1A3,HGNC:801,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
AHC Foundation (US),ATP1A3,HGNC:801,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
AHCUK,ATP1A3,HGNC:801,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
ANA,PAX6,HGNC:8620,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
ANKRD11 Foundation,ANKRD11,HGNC:21316,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
AOA4-PNKP family network,PNKP,HGNC:9154,,,family group,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
ARRE Foundation,ASXL2,HGNC:23805,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
ARRE Foundation,ASXL3,HGNC:29357,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
ASXL Rare Research Endowment Foundation,ASXL2,HGNC:23805,https://www.arrefoundation.org,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
ASXL Rare Research Endowment Foundation,ASXL3,HGNC:29357,https://www.arrefoundation.org,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
"ASXL Rare Research Endowment Foundation (Bohring-Opitz Syndrome, Shashi-Pena Syndrome, Bainbridge-Ropers Syndrome)",ASXL1,HGNC:18318,,,,,,sources/ren_members/ren_members.csv,candidate
"ASXL Rare Research Endowment Foundation (Bohring-Opitz Syndrome, Shashi-Pena Syndrome, Bainbridge-Ropers Syndrome)",ASXL2,HGNC:23805,,,,,,sources/ren_members/ren_members.csv,candidate
"ASXL Rare Research Endowment Foundation (Bohring-Opitz Syndrome, Shashi-Pena Syndrome, Bainbridge-Ropers Syndrome)",ASXL3,HGNC:29357,,,,,,sources/ren_members/ren_members.csv,candidate
AUTS2 Research Foundation,AUTS2,HGNC:14262,,,,,,sources/ren_members/ren_members.csv,candidate
AUTS2 Syndrome- Promoting Research Facebook Group,AUTS2,HGNC:14262,,,family group,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Advocacy for Neuroacanthocytosis Patients,VPS13A,HGNC:1908,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Advocacy for Neuroacanthocytosis Patients (UK),VPS13A,HGNC:1908,https://naadvocacy.org/,,foundation,Foundation-hosted,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
All Things Kabuki,KMT2D,HGNC:7133,https://allthingskabuki.org/,,foundation,Citizen,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Alliance to Cure Cavernous Malformation,CCM2,HGNC:21708,,,,,,sources/ren_members/ren_members.csv,candidate
Alliance to Cure Cavernous Malformation,KRIT1,HGNC:1573,,,,,,sources/ren_members/ren_members.csv,candidate
Alliance to Cure Cavernous Malformation,PDCD10,HGNC:8761,,,,,,sources/ren_members/ren_members.csv,candidate
Alternating Hemiplegia of Childhood Foundation,ATP1A3,HGNC:801,,,,,,sources/ren_members/ren_members.csv,candidate
Angelman Syndrome Alliance,UBE3A,HGNC:12496,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Angelman Syndrome Foundation,UBE3A,HGNC:12496,,,,,,sources/ren_members/ren_members.csv,candidate
Angelman Syndrome Foundation,UBE3A,HGNC:12496,https://www.angelman.org/,,foundation,REDCap,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Angelman Syndrome UK,UBE3A,HGNC:12496,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Angioma Alliance,CCM2,HGNC:21708,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Asociacion MEF2C,MEF2C,HGNC:6996,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Asociación Española IRF2BPL,IRF2BPL,HGNC:14282,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Association for Creatine Deficiencies,GAMT,HGNC:4136,,,,,,sources/ren_members/ren_members.csv,candidate
Association for Creatine Deficiencies,GATM,HGNC:4175,,,,,,sources/ren_members/ren_members.csv,candidate
Association for Creatine Deficiencies,SLC6A8,HGNC:11055,,,,,,sources/ren_members/ren_members.csv,candidate
Association for Frontotemporal Degeneration,GRN,HGNC:4601,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BAGOS Foundation,SYT1,HGNC:11509,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BDFA,CLN5,HGNC:2076,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BDFA,CLN6,HGNC:2077,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BDFA,CLN8,HGNC:2079,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BDSRA,CLN5,HGNC:2076,,,foundation,REDCap,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BDSRA,CLN6,HGNC:2077,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
