hgnc_id,orphacodes
HGNC:13666,869
HGNC:20,228174;33364;442835
HGNC:21022,313808;319504;99853
HGNC:17366,2203;3124
HGNC:23,2066
HGNC:32,88616
HGNC:33,2032;440402;685082
HGNC:45,69663;69665;79305
HGNC:57,51608;758
HGNC:59,276575;276598;552;79134;79643;99885;99886
HGNC:61,139396;139399;369942;388
HGNC:68,369955
HGNC:13886,2882;391665
HGNC:13887,2882;391665
HGNC:15868,171848
HGNC:13921,631085
HGNC:21396,98907
HGNC:87,79159
HGNC:21497,99901
HGNC:89,42
HGNC:90,26792
HGNC:91,79157
HGNC:92,26793
HGNC:319,171866;251262;435804;93283
HGNC:93,134
HGNC:25070,1775;3322;618
HGNC:2707,97369
HGNC:16066,502444
HGNC:118,313850;98676
HGNC:119,2971;631248
HGNC:27288,289504
HGNC:3571,777;86818
HGNC:129,171430;171433;171436;171439;2020;447977;97240;97244;98904
HGNC:130,2573;404463;91387
HGNC:132,2995;64755;673556;674653;79107
HGNC:143,154;54260;99103
HGNC:144,2995;90635;98942;98944
HGNC:24124,528084
HGNC:160,442835;528084
HGNC:163,140957
HGNC:164,154;708129;708133
HGNC:171,337
HGNC:175,275777;774
HGNC:177,137754
HGNC:186,277;39041
HGNC:1839,124;404553;820
HGNC:195,294023
HGNC:216,1872
HGNC:13201,3449
HGNC:1366,93583
HGNC:17110,369970
HGNC:225,225154;41;51;694356
HGNC:25151,363528
HGNC:236,1429;324588
HGNC:245,210141
HGNC:4512,101070;98889
HGNC:20973,528084
HGNC:257,289290
HGNC:15766,404448;700160
HGNC:21304,694922
HGNC:291,46
HGNC:3776,100973
HGNC:6473,632603
HGNC:17869,444077
HGNC:18119,457351
HGNC:28762,659975;90636
HGNC:315,101109;313772
HGNC:318,93
HGNC:26147,791
HGNC:21869,1369;98994
HGNC:321,366
HGNC:3262,528084
HGNC:3263,528084
HGNC:325,696189
HGNC:327,309803
HGNC:329,716825
HGNC:17258,2254
HGNC:341,93598
HGNC:343,88618
HGNC:25230,412069
HGNC:21575,220493;475;791
HGNC:13203,101089
HGNC:8768,101078;139583;238329;83629
HGNC:10648,280293;88616
HGNC:360,189466;3453
HGNC:362,33355
HGNC:388,79303
HGNC:391,2495;744
HGNC:392,293964;79085
HGNC:393,83473;99802
HGNC:397,443197;75563
HGNC:399,86816
HGNC:9722,35664;447753;447757;447760;90348
HGNC:403,816
HGNC:406,79101
HGNC:408,22
HGNC:877,3006
HGNC:417,469
HGNC:18294,79327
HGNC:32456,280071
HGNC:19358,79324
HGNC:30881,324422;777
HGNC:28287,353327
HGNC:23159,353327;79326
HGNC:23056,79321
HGNC:23157,79320
HGNC:23161,2924;79325
HGNC:15672,730;79328
HGNC:427,146;178342;251877;251992;300895;364043;626;635;715697
HGNC:25189,88616
HGNC:428,364055;64;65
HGNC:20917,313800
HGNC:438,247623;247638;247651;247667;247676;247685
HGNC:443,247604;293168;300605
HGNC:1494,306542
HGNC:449,391474
HGNC:450,228390;35093;52022;60015
HGNC:451,79095
HGNC:26837,2780
HGNC:17811,660021
HGNC:469,369920;401805
HGNC:473,289857;289860;289863
HGNC:491,727925
HGNC:492,251066;822
HGNC:494,356996
HGNC:21316,2332;261250
HGNC:23575,717823
HGNC:29186,168629
HGNC:26724,93591;93592
HGNC:25519,284289
HGNC:27337,206549;206599;399096;53697;689021
HGNC:6211,478
HGNC:21014,2067
HGNC:21732,2028;2176
HGNC:535,803
HGNC:554,171851
HGNC:555,528084
HGNC:559,171851
HGNC:560,1568;85329;85335
HGNC:564,1942
HGNC:565,101050
HGNC:566,664500
HGNC:567,442835
HGNC:572,280763
HGNC:573,280763
HGNC:574,280763
HGNC:575,280763
HGNC:22197,306511
HGNC:583,220460;261584;314022;3258;733;873
HGNC:24036,821
HGNC:603,391665;727915
HGNC:618,656
HGNC:620,100006;1020;324703;324708;324713;324718;324723
HGNC:644,481;90797;95706;99429
HGNC:649,659702
HGNC:652,98892
HGNC:654,178469
HGNC:15853,98892
HGNC:663,90
HGNC:30207,199306
HGNC:14561,163985
HGNC:11110,1465
HGNC:18040,1465;251056
HGNC:18037,1465
HGNC:25419,475
HGNC:17146,791
HGNC:13210,110;791
HGNC:697,401780
HGNC:23045,276234
HGNC:20730,475
HGNC:704,714496
HGNC:707,662762
HGNC:713,309256;309263;309271
HGNC:714,276212;276223
HGNC:719,79345
HGNC:18060,1934;2508;3175;364063;452;697160;777;94083
HGNC:735,2590;333
HGNC:19088,178469
HGNC:746,23
HGNC:753,391376
HGNC:756,314911;314918
HGNC:19048,2512
HGNC:758,247546;247573
HGNC:18318,86845;97297;98823;98849;98850
HGNC:23805,689408
HGNC:29357,352577
HGNC:25903,3197
HGNC:25567,496790;615983;615986;656279
HGNC:791,1872;49382
HGNC:794,250977
HGNC:11231,100984;36386
HGNC:795,100;145;370109;440437;52416;67038
HGNC:3033,101
HGNC:13552,2032;90635
HGNC:30213,300605;306674;314632;513436
HGNC:24113,275777
HGNC:799,521414;564178
HGNC:800,2131;442835;569
HGNC:801,1171;2131;442835;71517
HGNC:814,528084
HGNC:815,90636
HGNC:816,314978
HGNC:823,254913
HGNC:850,254913
HGNC:868,692790
HGNC:18305,363654;93952
HGNC:865,528084
HGNC:18481,2834;357074
HGNC:851,357074;442835
HGNC:853,402041
HGNC:854,3473;79499;79500
HGNC:869,139557;198;388;565
HGNC:870,905
HGNC:13533,1766
HGNC:13540,528084
HGNC:882,313846;808
HGNC:886,100075;231401;715721;726004;847;96253
HGNC:10555,803;98756
HGNC:890,67046
HGNC:11391,137893
HGNC:14262,352490;641372
HGNC:903,210159
HGNC:904,401911
HGNC:28596,588;88616;899
HGNC:17978,536467;642099
HGNC:20207,709
HGNC:4117,101006
HGNC:924,79332
HGNC:930,75496
HGNC:24123,475;564
HGNC:28636,475;564
HGNC:939,154;199340
HGNC:950,2495;289539;50251;528084;618;723195;723203
HGNC:28093,110
HGNC:966,110;791
HGNC:26291,110
HGNC:26648,110
HGNC:967,110;791
HGNC:969,110
HGNC:970,110
HGNC:18758,110
HGNC:30000,110
HGNC:16695,369939;369942
HGNC:14347,697067
HGNC:986,268145;268162;268173
HGNC:987,268145;268162;268173
HGNC:16902,308410
HGNC:989,52417
HGNC:13221,251380;261349;619233
HGNC:13222,662829
HGNC:20893,2712;457246;520;568
HGNC:1020,123;1460;254902;53693
HGNC:12703,1243;139455;263347;3086;35612;791;99000
HGNC:1044,622925;93349
HGNC:1052,169186;169189
HGNC:1058,125
HGNC:14211,33110
HGNC:18561,231531
HGNC:8549,231531
HGNC:26953,610569
HGNC:1071,139471;199306;90654;93100
HGNC:1078,275777;275786;31837
HGNC:24415,401874
HGNC:17950,85179
HGNC:3581,529962;686482
HGNC:21701,435845
HGNC:1100,1333;145;168829;667662;694963;70567;84
HGNC:1101,1333;145;178;319462;440437;654;667662;694963;70567;84
HGNC:13575,199;443167
HGNC:11551,444072
HGNC:14255,1620;698090
HGNC:11405,178469
HGNC:17342,528084
HGNC:15832,100998;139536;363400;696289
HGNC:16512,89938;90636
HGNC:1122,79241
HGNC:1148,1052
HGNC:1149,1052
HGNC:29521,1777
HGNC:25443,289560;320370
HGNC:1241,169147;300345
HGNC:1242,169147
HGNC:14344,67042
HGNC:24564,434179
HGNC:1318,280133;544472
HGNC:28337,100069;100070;275864;275872;401901;803
HGNC:1373,2785
HGNC:1377,401948
HGNC:1382,1766
HGNC:1385,90636
HGNC:1388,2131;2382;442835;569;71518;97;98758
HGNC:1389,442835
HGNC:1391,324321;369929
HGNC:1392,1934
HGNC:1393,178333;1872;714070
HGNC:1394,458803
HGNC:1396,178469
HGNC:20202,1872;714070
HGNC:1424,448010
HGNC:1442,727192;730657
HGNC:1445,727192;730657
HGNC:1449,727192;730657
HGNC:1460,178469
HGNC:1461,178469
HGNC:18806,157791;314647
HGNC:19721,1425;647676
HGNC:11182,611201
HGNC:1480,267;565909
HGNC:1482,329211
HGNC:6743,528084
HGNC:16393,300324;357237;464336;619972
HGNC:27089,542301
HGNC:1493,178342;33364
HGNC:25695,477774
HGNC:1497,163937;1934;777
HGNC:1509,210159;275517
HGNC:1527,220393;220402;275777;696206
HGNC:1529,206599;488650;97238
HGNC:9688,228429
HGNC:1539,98829
HGNC:1541,363972;648;86834;98850
HGNC:1550,394
HGNC:1307,475
HGNC:30237,88616
HGNC:29253,1454;2318;564;791
HGNC:29426,2136
HGNC:28909,7
HGNC:28295,528084
HGNC:25244,244
HGNC:26090,244
HGNC:25523,99807
HGNC:19967,269510;423275
HGNC:21708,221061
HGNC:12771,1159
HGNC:1583,83473
HGNC:1596,600668
HGNC:18576,244
HGNC:1633,696881
HGNC:1677,169160;85408;85410
HGNC:11922,238505
HGNC:14258,656
HGNC:16692,280183
HGNC:1673,169160
HGNC:1674,169160
HGNC:1675,169082
HGNC:11919,101090
HGNC:11935,101088
HGNC:6953,244242;544472
HGNC:11937,538958
HGNC:1698,33110
HGNC:1699,33110
HGNC:1713,98869
HGNC:1718,90636
HGNC:1736,487796;619363
HGNC:1739,2554
HGNC:1744,2554
HGNC:16783,143;99879;99880
HGNC:1748,199306;1997;26106
HGNC:1750,1299
HGNC:1759,293910
HGNC:13733,231169;2965;314777;90636;91347;96253
HGNC:1762,1573;1897
HGNC:14550,1872;791
HGNC:1770,720326
HGNC:1733,646278
HGNC:19338,442835
HGNC:1773,618;99970;99971
HGNC:18672,2512
HGNC:1777,2512
HGNC:1779,528084
HGNC:11411,1934;3095;505652;697160
HGNC:1785,276152;652
HGNC:1786,231120;397590;436144;85173
HGNC:1787,1333;1501;252206;404560;524;585909;618;715721;99861
HGNC:17104,220386;280195;280200;93924;93925;93926;95496
HGNC:24576,2554
HGNC:31948,90635;90636
HGNC:1833,102724;319465;319480
HGNC:2550,442835
HGNC:1850,569816
HGNC:1857,444069;506307
HGNC:24866,475;88616
HGNC:26690,220493;474;475
HGNC:29086,2512
HGNC:29298,2512;808
HGNC:29182,3156
HGNC:29021,110;2318;3156;564;65
HGNC:29366,808
HGNC:12370,220493;475
HGNC:1161,500135
HGNC:30794,1052
HGNC:25740,231183
HGNC:17966,93591
HGNC:21638,572013
HGNC:21699,791
HGNC:14253,424027
HGNC:2205,528084
HGNC:33720,244
HGNC:28188,244
HGNC:1260,1872;653709;803
HGNC:27232,110;1872;791
HGNC:4883,200421;244242;244275;329931;544472;75376;93571
HGNC:5394,200418;244242;244275;544472;75376
HGNC:1875,171436
HGNC:1884,399805;48;498359;586;60033;700124
HGNC:20311,692193
HGNC:1912,716893
HGNC:15559,275872;276435;457050;803
HGNC:1915,529965
HGNC:1917,1942;2382
HGNC:1918,599082
HGNC:1919,653712
HGNC:16816,528084
HGNC:20626,138;39041;432;478
HGNC:20153,261229;642675
HGNC:1937,88616
HGNC:1938,280671;521305
HGNC:1940,180
HGNC:8740,324569
HGNC:24537,100069;100070;275864;803
HGNC:1943,233
HGNC:1955,33108;716758;716765;716816
HGNC:1958,98784
HGNC:1961,716758;716765;716816
HGNC:1962,98784
HGNC:1967,2990;33108
HGNC:24464,2953
HGNC:1971,263463
HGNC:6938,98969
HGNC:17198,363417
HGNC:14280,727296
HGNC:14214,178469
HGNC:7067,572
HGNC:24212,3463
HGNC:1985,2512
HGNC:26877,3255
HGNC:2021,528084
HGNC:2022,485350;777
HGNC:2023,93622
HGNC:2024,610573
HGNC:2025,210110;53;667
HGNC:2027,358;89938;93605
HGNC:2035,90636
HGNC:2037,31043
HGNC:2074,699780;699796
HGNC:2076,699802;699807;699812
HGNC:2077,700467;700472;700477
HGNC:2079,1947;700484
HGNC:16999,411493
HGNC:30664,445038;486
HGNC:2084,642945;642976
HGNC:12605,231183;791
HGNC:2092,178342;178469;319308;442835
HGNC:25678,244
HGNC:2148,791
HGNC:2150,1872;49382
HGNC:2151,791
HGNC:2153,1871;49382;827
HGNC:19701,442835;777
HGNC:103,620363
HGNC:105,1873
HGNC:7877,528084;556955
HGNC:7878,289513;697764
HGNC:7879,528084;99861
HGNC:11968,697160
HGNC:2172,86814
HGNC:8011,2680
HGNC:18025,1561
HGNC:20492,436271
HGNC:29932,397725;611256
HGNC:2180,90635
HGNC:6545,263508
HGNC:18620,263501;85172
HGNC:14857,263487
HGNC:18621,363523;464443
HGNC:18622,79333
HGNC:18623,95428
HGNC:2185,174
HGNC:2187,1427;166100;2021;90635;90636
HGNC:2195,1571
HGNC:2197,1310;1899;216796;216804;216812;216820;230857;287;31112;314029
HGNC:2200,137678;166100;1856;209867;2380;459051;485;85166;85198;86820;90653;93279;93296;93297;93315;93316;93346;94068
HGNC:2201,231160;2500;286;636941;86
HGNC:2202,36383;477749;481986;73229;75326;899;99810
HGNC:2203,36383;99810
HGNC:2204,653722;656;88918;88919
HGNC:2206,653722;88918;88919
HGNC:2207,1018;653722;88917
HGNC:2209,287
HGNC:2210,287
HGNC:2211,610;646113;75840
HGNC:2212,289380;610;646113;75840
HGNC:2213,464440;610;646113;75840
HGNC:2214,158673;158676;231568;79408;79409;79410;79411;89842;89843
HGNC:2217,166002;250984
HGNC:2219,166002;250984
HGNC:17213,293843
HGNC:2227,750;93308
HGNC:2231,633035
HGNC:2232,2512
HGNC:25223,227510;98933
HGNC:19693,457185
HGNC:20233,280406;93921
HGNC:2244,319678;658778
HGNC:16812,139485
HGNC:19041,656;791
HGNC:25302,319678
HGNC:2252,228003
HGNC:2260,254905
HGNC:2263,1561
HGNC:26970,254905
HGNC:2265,254905
HGNC:2277,435998
HGNC:2280,254905
HGNC:2295,48818
HGNC:23228,519388
HGNC:17272,2512;808
HGNC:2303,633028
HGNC:25801,2754;475;65684
HGNC:2309,280;86909
HGNC:2321,659672;79273
HGNC:2323,147
HGNC:2326,528084
HGNC:2328,156
HGNC:2330,228302;228305;228308;263524
HGNC:2336,536;696894
HGNC:2340,88616
HGNC:2343,251295;35612;65;791
HGNC:18688,443988;656
HGNC:2348,353277;353281;370026;592574
HGNC:14630,576235;99067;99068
HGNC:14312,715640
HGNC:37276,352479;370980;588;899
HGNC:2383,1872;65;791
HGNC:2433,313808;556985
HGNC:2435,264675
HGNC:2436,264675
HGNC:2457,528084
HGNC:2460,178469;689397
HGNC:26193,397715;475;564
HGNC:2472,154
HGNC:2482,248;308
HGNC:2494,280;714399
HGNC:26169,1775;313838
HGNC:13723,363611
HGNC:2498,48431
HGNC:2501,212
HGNC:2505,2584;3162;436159;536;900
HGNC:2509,26106;99001
HGNC:2514,1501;210159;2780;33402;404473;54595;569248;689430;873;891;91414;952
HGNC:2515,1997
HGNC:2516,178469;281;86814
HGNC:2518,411629;411634;411641
HGNC:2519,420573
HGNC:16850,528084;654
HGNC:9251,351;575553
HGNC:2529,700487;700492;700497
HGNC:2531,352709
HGNC:2536,763
HGNC:2553,300530;716116
HGNC:2555,85293
HGNC:2557,178469
HGNC:19347,2382
HGNC:10664,166035
HGNC:25613,453521
HGNC:2561,51636
HGNC:2570,621;90796
HGNC:2873,621
HGNC:2579,1460
HGNC:13760,442835
HGNC:2584,211;867
HGNC:2592,403;556030
HGNC:2597,708;98976;98977
HGNC:2605,909
HGNC:2606,289157
HGNC:20582,320411
HGNC:23198,41751
HGNC:2652,100986;79302
HGNC:28358,79315
HGNC:2666,206599;280333;370997;899
HGNC:2678,363412
HGNC:25538,137898
HGNC:2698,268145;268162;268173;268184
HGNC:25784,3464
HGNC:2701,238722;2744;478
