source_id,symbol_in_source,hgnc_id_in_source,evidence,phenotype,extra,hgnc_id,resolved_by
genes4epilepsy,AARS1,HGNC:20,,,"{""inheritance"": ""AR"", ""omim"": ""601065""}",HGNC:20,id
genes4epilepsy,AARS2,HGNC:21022,,,"{""inheritance"": ""AR"", ""omim"": ""612035""}",HGNC:21022,id
genes4epilepsy,ABAT,HGNC:23,,,"{""inheritance"": ""AR"", ""omim"": ""137150""}",HGNC:23,id
genes4epilepsy,ABCA2,HGNC:32,,,"{""inheritance"": ""AD/AR"", ""omim"": ""600047""}",HGNC:32,id
genes4epilepsy,ABCC9,HGNC:60,,,"{""inheritance"": ""AR"", ""omim"": ""601439""}",HGNC:60,id
genes4epilepsy,ABHD16A,HGNC:13921,,,"{""inheritance"": ""AR"", ""omim"": ""142620""}",HGNC:13921,id
genes4epilepsy,ACBD6,HGNC:23339,,,"{""inheritance"": ""AR"", ""omim"": ""616352""}",HGNC:23339,id
genes4epilepsy,ACOX1,HGNC:119,,,"{""inheritance"": ""AR"", ""omim"": ""609751""}",HGNC:119,id
genes4epilepsy,ACTB,HGNC:132,,,"{""inheritance"": ""AD"", ""omim"": ""102630""}",HGNC:132,id
genes4epilepsy,ACTG1,HGNC:144,,,"{""inheritance"": ""AD"", ""omim"": ""102560""}",HGNC:144,id
genes4epilepsy,ACTL6B,HGNC:160,,,"{""inheritance"": ""AR"", ""omim"": ""612458""}",HGNC:160,id
genes4epilepsy,ACY1,HGNC:177,,,"{""inheritance"": ""AR"", ""omim"": ""104620""}",HGNC:177,id
genes4epilepsy,ADAM22,HGNC:201,,,"{""inheritance"": ""AR"", ""omim"": ""603709""}",HGNC:201,id
genes4epilepsy,ADAR,HGNC:225,,,"{""inheritance"": ""AR"", ""omim"": ""146920""}",HGNC:225,id
genes4epilepsy,ADARB1,HGNC:226,,,"{""inheritance"": ""AR"", ""omim"": ""601218""}",HGNC:226,id
genes4epilepsy,ADAT3,HGNC:25151,,,"{""inheritance"": ""AR"", ""omim"": ""615302""}",HGNC:25151,id
genes4epilepsy,ADCY5,HGNC:236,,,"{""inheritance"": ""AD"", ""omim"": ""600293""}",HGNC:236,id
genes4epilepsy,ADGRG1,HGNC:4512,,,"{""inheritance"": ""AR"", ""omim"": ""604110""}",HGNC:4512,id
genes4epilepsy,ADGRL1,HGNC:20973,,,"{""inheritance"": ""AD"", ""omim"": ""616416""}",HGNC:20973,id
genes4epilepsy,ADNP,HGNC:15766,,,"{""inheritance"": ""AD"", ""omim"": ""611386""}",HGNC:15766,id
genes4epilepsy,ADPRS,HGNC:21304,,,"{""inheritance"": ""AR"", ""omim"": ""610624""}",HGNC:21304,id
genes4epilepsy,ADSL,HGNC:291,,,"{""inheritance"": ""AR"", ""omim"": ""608222""}",HGNC:291,id
genes4epilepsy,AFDN,HGNC:7137,,,"{""inheritance"": ""AD"", ""omim"": ""159559""}",HGNC:7137,id
genes4epilepsy,AFF3,HGNC:6473,,,"{""inheritance"": ""AD"", ""omim"": ""601464""}",HGNC:6473,id
genes4epilepsy,AFG2A,HGNC:18119,,,"{""inheritance"": ""AR"", ""omim"": ""613940""}",HGNC:18119,id
genes4epilepsy,AFG2B,HGNC:28762,,,"{""inheritance"": ""AR"", ""omim"": ""619578""}",HGNC:28762,id
genes4epilepsy,AFG3L2,HGNC:315,,,"{""inheritance"": ""AR"", ""omim"": ""604581""}",HGNC:315,id
genes4epilepsy,AGA,HGNC:318,,,"{""inheritance"": ""AR"", ""omim"": ""613228""}",HGNC:318,id
genes4epilepsy,AGMO,HGNC:33784,,,"{""inheritance"": ""AR"", ""omim"": ""613738""}",HGNC:33784,id
genes4epilepsy,AGO1,HGNC:3262,,,"{""inheritance"": ""AD"", ""omim"": ""606228""}",HGNC:3262,id
genes4epilepsy,AHDC1,HGNC:25230,,,"{""inheritance"": ""AD"", ""omim"": ""615790""}",HGNC:25230,id
genes4epilepsy,AIMP1,HGNC:10648,,,"{""inheritance"": ""AR"", ""omim"": ""603605""}",HGNC:10648,id
genes4epilepsy,AKT1,HGNC:391,,,"{""inheritance"": ""AD"", ""omim"": ""164730""}",HGNC:391,id
genes4epilepsy,AKT3,HGNC:393,,,"{""inheritance"": ""AD"", ""omim"": ""611223""}",HGNC:393,id
genes4epilepsy,ALDH3A2,HGNC:403,,,"{""inheritance"": ""AR"", ""omim"": ""609523""}",HGNC:403,id
genes4epilepsy,ALDH5A1,HGNC:408,,,"{""inheritance"": ""AR"", ""omim"": ""610045""}",HGNC:408,id
