hgnc_id,symbol,gene_name,tier,domain,disputed,disputed_note,n_sources,sources,orphacodes,synonyms,omim_id,ensembl_gene_id,locus_group,ev_clingen,ev_g2p_dd,ev_orphadata_genes,ev_panelapp_au_epilepsy,ev_panelapp_au_id,ev_panelapp_ge_epilepsy,ev_panelapp_ge_id,ev_sfari,ev_sysndd,on_clingen,on_g2p_dd,on_genes4epilepsy,on_orphadata_genes,on_panelapp_au_epilepsy,on_panelapp_au_id,on_panelapp_ge_epilepsy,on_panelapp_ge_id,on_sfari,on_sysndd,pheno_clingen,pheno_g2p_dd,pheno_genes4epilepsy,pheno_panelapp_au_epilepsy,pheno_panelapp_au_id,pheno_panelapp_ge_epilepsy,pheno_panelapp_ge_id,simons_on_list,simons_list_version,simons_page_url,simons_report_url,on_simons_gene_list,el_tier,disorder,el_foundation,el_foundation_url,el_registry,el_registry_url,el_platforms,simons_enrolled,cords,therapeutics,fda_report,fda_report_url,on_epilepsylive_pag,gene_family,opathy,opathy_basis,on_opathy,pubmed_hits,pubmed_query,pubmed_as_of,on_pubmed_gene_counts,registries
HGNC:13666,AAAS,aladin WD repeat nucleoporin,T1,ndd_no_documented_epilepsy,False,,5,g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd,869,,605378,ENSG00000094914,protein-coding gene,,definitive,Assessed,,Green,,Green,,Limited,False,True,False,True,False,True,False,True,False,True,,AAAS-related chalasia-addisonianism-alacrima syndrome,,,"Achalasia-addisonianism-alacrimia syndrome, MIM#231550",,"Achalasia-addisonianism-alacrimia syndrome, OMIM:231550; Triple-A syndrome, MONDO:0009279",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:20,AARS1,alanyl-tRNA synthetase 1,T1,ndd_with_epilepsy,False,,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,228174;33364;442835,AARS;CMT2N;AlaRS,601065,ENSG00000090861,protein-coding gene,Definitive;Limited,strong,Assessed,Green,Green,Green,Green,,Definitive,True,True,True,True,True,True,True,True,False,True,"AARS1-related leukoencephalopathy; Charcot-Marie-Tooth disease axonal type 2N; developmental and epileptic encephalopathy, 29",AARS1-related early-onset epileptic encephalopathy with persistent myelination defect,DEE,"Epileptic encephalopathy, early infantile, 29, MIM# 616339","Epileptic encephalopathy, early infantile, 29, MIM# 616339","Developmental and epileptic encephalopathy 29, OMIM:616339; Developmental and epileptic encephalopathy, 29, MONDO:0014593","Developmental and epileptic encephalopathy 29, OMIM:616339; Developmental and epileptic encephalopathy, 29, MONDO:0014593",,,,,False,,,,,,,,,,,,,False,,,,False,43,"(""AARS1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07,True,[]
HGNC:21022,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",T1,ndd_with_epilepsy,False,,6,clingen;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_ge_epilepsy;sysndd,313808;319504;99853,AARSL;KIAA1270;bA444E17.1,612035,ENSG00000124608,protein-coding gene,Definitive,,Assessed,Amber,,Red,,,Moderate,True,False,True,True,True,False,True,False,False,True,mitochondrial disease,,DEE,"Combined oxidative phosphorylation deficiency 8, 614096; Leukoencephalopathy progressive with ovarian failure, 615889",,,,,,,,False,,,,,,,,,,,,,False,,,,False,72,"(""AARS2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07,True,[]
HGNC:17366,AASS,aminoadipate-semialdehyde synthase,T1,ndd_with_epilepsy,False,,7,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,2203;3124,LORSDH;LKRSDH;LKR/SDH,605113,ENSG00000008311,protein-coding gene,Definitive,strong,Assessed,,Amber,Green,Green,,Definitive,True,True,False,True,False,True,True,True,False,True,hyperlysinemia,AASS-related hyperlysinemia,,,"Hyperlysinemia, MIM# 238700","Hyperlysinemia, OMIM:238700; Hyperlysinemia (disease), MONDO:0009388","Hyperlysinemia, OMIM:238700; Hyperlysinemia (disease), MONDO:0009388",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:23,ABAT,4-aminobutyrate aminotransferase,T1,ndd_with_epilepsy,False,,10,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,2066,GABAT;GABA-T,137150,ENSG00000183044,protein-coding gene,Moderate,definitive,Assessed,Green,Green,Green,Green,2,Definitive,True,True,True,True,True,True,True,True,True,True,genetic developmental and epileptic encephalopathy,ABAT-related GABA-transaminase deficiency,DEE,"GABA-transaminase deficiency, MIM#613163","GABA-transaminase deficiency, MIM#613163",GABA-transaminase deficiency 613163,"GABA-transaminase deficiency, 613163; developmental delay",,,,,False,,,,,,,,,,,,,False,,,,False,97,"(""ABAT""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07,True,[]
HGNC:32,ABCA2,ATP binding cassette subfamily A member 2,T1,ndd_with_epilepsy,False,,9,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,88616,ABC2,600047,ENSG00000107331,protein-coding gene,,moderate,Assessed,Green,Green,Amber,Green,3,Definitive,False,True,True,True,True,True,True,True,True,True,,ABCA2-related intellectual developmental disorder with poor growth and with or without seizures or ataxia,DEE,"Intellectual developmental disorder with poor growth and with or without seizures or ataxia, 618808","Intellectual developmental disorder with poor growth and with or without seizures or ataxia, 618808","Intellectual developmental disorder with poor growth and with or without seizures or ataxia, OMIM:618808; Intellectual developmental disorder with poor growth and with or without seizures or ataxia, MONDO:0032930","Intellectual developmental disorder with poor growth and with or without seizures or ataxia, OMIM:618808; Intellectual developmental disorder with poor growth and with or without seizures or ataxia, MONDO:0032930",,,,,False,,,,,,,,,,,,,False,,,,False,96,"(""ABCA2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07,True,[]
HGNC:42,ABCB11,ATP binding cassette subfamily B member 11,T1,ndd_no_documented_epilepsy,False,,3,g2p_dd;orphadata_genes;panelapp_ge_id,69665;79304;99961,BSEP;PFIC2;ABC16;SPGP;PFIC-2;PGY4,603201,ENSG00000073734,protein-coding gene,,definitive,Assessed,,,,Red,,,False,True,False,True,False,False,False,True,False,False,,ABCB11-related intrahepatic cholestasis,,,,,"Cholestasis, progressive familial intrahepatic 2, 601847; Cholestasis, benign recurrent intrahepatic, 2, 605479",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:48,ABCB7,ATP binding cassette subfamily B member 7,T1,ndd_no_documented_epilepsy,False,,5,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id,2802,ABC7;EST140535;Atm1p;ASAT,300135,ENSG00000131269,protein-coding gene,Moderate,definitive,Assessed,,Amber,,Red,,,True,True,False,True,False,True,False,True,False,False,mitochondrial disease,"ABCB7-related anemia, sideroblastic, with ataxia",,,"Anaemia, sideroblastic, with ataxia, MIM# 301310",,"ANEMIA, SIDEROBLASTIC, WITH ATAXIA",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:57,ABCC6,ATP binding cassette subfamily C member 6,T1,ndd_no_documented_epilepsy,False,,5,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id,51608;758,ARA;PXE;MRP6;EST349056;MLP1;URG7,603234,ENSG00000091262,protein-coding gene,Definitive,definitive,Assessed,,Red,,Red,,,True,True,False,True,False,True,False,True,False,False,inherited pseudoxanthoma elasticum,"ABCC6-related arterial calcification, generalized, of infancy",,,,,"Pseudoxanthoma elasticum, 264800; Pseudoxanthoma elasticum, forme fruste, 177850; Arterial calcification, generalized, of infancy, 2, 614473",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:59,ABCC8,ATP binding cassette subfamily C member 8,T1,ndd_no_documented_epilepsy,False,,4,clingen;orphadata_genes;panelapp_ge_id;sysndd,276575;276598;552;79134;79643;99885;99886,SUR;HRINS;HI;PHHI;SUR1;MRP8;ABC36;HHF1;TNDM2,600509,ENSG00000006071,protein-coding gene,Definitive;Moderate,,Assessed,,,,Red,,Definitive,True,False,False,True,False,False,False,True,False,True,"hyperinsulinemic hypoglycemia, familial, 1; hyperinsulinism; monogenic diabetes; pulmonary arterial hypertension",,,,,,,,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
