source_id,symbol_in_source,hgnc_id_in_source,resolved_by
orphadata_genes,AZF1,HGNC:908,unresolved
orphadata_genes,SPG34,HGNC:32944,unresolved
orphadata_genes,SPG37,HGNC:33472,unresolved
orphadata_genes,SPG38,HGNC:33485,unresolved
orphadata_genes,SPG32,HGNC:32314,unresolved
orphadata_genes,SNORD116@,HGNC:32781,unresolved
orphadata_genes,SNORD115@,HGNC:32780,unresolved
orphadata_genes,GINGF2,HGNC:14252,unresolved
orphadata_genes,SCA32,HGNC:37475,unresolved
orphadata_genes,SCA30,HGNC:33445,unresolved
orphadata_genes,USH1E,HGNC:12599,unresolved
orphadata_genes,USH1H,HGNC:22433,unresolved
orphadata_genes,USH1K,HGNC:43724,unresolved
orphadata_genes,SPG41,HGNC:34382,unresolved
orphadata_genes,SPG36,HGNC:33240,unresolved
orphadata_genes,DYT17,HGNC:35416,unresolved
orphadata_genes,SCA37,HGNC:43726,unresolved
orphadata_genes,DYT21,HGNC:39436,unresolved
orphadata_genes,DHS6S1,,unresolved
orphadata_genes,DYT15,HGNC:31376,unresolved
orphadata_genes,DYT13,HGNC:3101,unresolved
orphadata_genes,OPA2,HGNC:8141,unresolved
orphadata_genes,SCA25,HGNC:20684,unresolved
orphadata_genes,SCA20,HGNC:17204,unresolved
orphadata_genes,SPG29,HGNC:30161,unresolved
orphadata_genes,SPG19,HGNC:16706,unresolved
orphadata_genes,SPG16,HGNC:14260,unresolved
orphadata_genes,SPG14,HGNC:13730,unresolved
orphadata_genes,SPG27,HGNC:26071,unresolved
orphadata_genes,SPG25,HGNC:25855,unresolved
orphadata_genes,SPG24,HGNC:22993,unresolved
orphadata_genes,FMR3,HGNC:3777,unresolved
