org_name,gene,url,notes
Alpha-1 Foundation,,http://alpha1portal.org/,2020 registry survey; registry: No
Als Association,,http://www.alsa.org/,2020 registry survey; registry: Yes
American Brain Tumor Association,,http://abta.org/,2020 registry survey; registry: No
"Aplastic Anemia & MDS International Foundation, Inc",,http://aamds.org/,2020 registry survey; registry: Yes
Association for Frontotemporal Degeneration,,http://theaftd.org/,2020 registry survey; registry: Yes
Barth Syndrome Foundation,,https://www.barthsyndrome.org/,2020 registry survey; registry: Yes
Charcot-Marie-Tooth Association,,http://cmtausa.org/,2020 registry survey; registry: Yes
"Children's Tumor Foundation, Inc",,http://ctf.org/,2020 registry survey; registry: Yes
Cure SMA,,https://www.curesma.org/,2020 registry survey; registry: Yes
CurePSP,,http://psp.org/,2020 registry survey; registry: Yes
Cystic Fibrosis Foundation,,www.cff.org,2020 registry survey; registry: Yes
Dravet Syndrome Foundation,SCN1A,http://dravetfoundation.org,2020 registry survey; registry: Yes
Family Caregiver Alliance,,http://caregiver.org/,2020 registry survey; registry: No
Fanconi Anemia Research Fund,,www.fanconi.org,2020 registry survey; registry: Yes
Foundation Fighting Blindness,,http://FightingBlindness.org,2020 registry survey; registry: Yes
Foundation for Angelman Syndrome Therapeutics,UBE3A,http://cureangelman.org/,2020 registry survey; registry: Yes
Foundation for Prader-Willi Research,,http://fpwr.org,2020 registry survey; registry: Yes
Friedreich's Ataxia Research Alliance,,http://curefa.org/,2020 registry survey; registry: Yes
Hemophilia Federation Of America,,http://hemophiliafed.org/,2020 registry survey; registry: 
Hydrocephalus Association,,http://hydroassoc.org/,2020 registry survey; registry: Yes
Immune Deficiency Foundation,,http://primaryimmune.org/,2020 registry survey; registry: Yes
"International FOP Association, Inc",,http://ifopa.org/,2020 registry survey; registry: Yes
International Rett Syndrome Foundation (dba. Rettsyndrome.org),,http://rettsyndrome.org/,2020 registry survey; registry: No
International Waldenstrom's Macroglobulinemia Foundation,,http://iwmf.com,2020 registry survey; registry: Yes
Marfan Foundation,,http://marfan.org,2020 registry survey; registry: Yes
Melanoma Research Foundation,,www.melanoma.org,2020 registry survey; registry: Yes
MPN Research Foundation,,http://www.mpnresearchfoundation.org/,2020 registry survey; registry: Yes
"Multiple System Atrophy Coalition, Inc",,http://MultipleSystemAtrophy.org,2020 registry survey; registry: Yes
Muscular Dystrophy Association,,http://www.mda.org/,2020 registry survey; registry: 
"Myasthenia Gravis Foundation of America, Inc",,http://myasthenia.org/,2020 registry survey; registry: Yes
National Ataxia Foundation,,http://ataxia.org/,2020 registry survey; registry: Yes
National Brain Tumor Society,,http://braintumor.org,2020 registry survey; registry: No
National Hemophilia Foundation,,https://www.hemophilia.org/,2020 registry survey; registry: No
National MPS Society,,http://mpssociety.org/,2020 registry survey; registry: No
NephCure Kidney International,,http://nephcure.org/,2020 registry survey; registry: Yes
Neuroendocrine Tumor Research Foundation,,http://netrf.org/,2020 registry survey; registry: No
Osteogenesis Imperfecta Foundation,,http://oif.org/,2020 registry survey; registry: No
Parent Project Muscular Dystrophy,,http://parentprojectmd.org/,2020 registry survey; registry: Yes
Patient AirLift Services,,http://www.palservices.org/,2020 registry survey; registry: No (they provide a service)
PKD Foundation,,https://pkdcure.org/,2020 registry survey; registry: Yes
Pulmonary Fibrosis Foundation,,http://pulmonaryfibrosis.org/,2020 registry survey; registry: Yes
Pulmonary Hypertension Association,,http://phassociation.org/,2020 registry survey; registry: Yes
Rett Syndrome Research Trust,,http://rsrt.org,2020 registry survey; registry: Yes
Sarcoma Foundation of America,,http://curesarcoma.org/,2020 registry survey; registry: No
Scleroderma Foundation,,http://scleroderma.org/,2020 registry survey; registry: Yes
Sickle Cell Disease Association of America,,www.sicklecelldisease.org,2020 registry survey; registry: No
"Soft Bones, Inc",,http://softbones.org/,2020 registry survey; registry: Yes
Spina Bifida Association,,www.spinabifidaassociation.org,2020 registry survey; registry: Yes
Taiwan Foundation for Rare Disorders,,www.tfrd.org.tw/english,2020 registry survey; registry: 
The Ehlers-Danlos Society,,https://www.ehlers-danlos.com,2020 registry survey; registry: Yes
Tuberous Sclerosis Alliance,TSC1;TSC2,http://tsalliance.org/,2020 registry survey; registry: Yes
United Mitochondrial Disease Foundation,,http://umdf.org/,2020 registry survey; registry: No
"Amyloidosis Research Consortium, Inc",,www.arci.org,2020 registry survey; registry: No
Castleman Disease Collaborative Network,,http://cdcn.org,2020 registry survey; registry: Yes
Cholangiocarcinoma Foundation,,http://cholangiocarcinoma.org/,2020 registry survey; registry: Yes
CMT Research Foundation,,www.cmtrf.org,2020 registry survey; registry: No
CURE HHT Foundation,,http://curehht.org/,2020 registry survey; registry: No
cutaneous lymphoma foundation,,http://clfoundation.org/,2020 registry survey; registry: No
Cystic Fibrosis Research Inc. (CFRI),,www.cfri.org,2020 registry survey; registry: No
Familial Dysautonomia Foundation,,https://familialdysautonomia.org/,2020 registry survey; registry: No
Fibrolamellar Cancer Foundation,,http://fibrofoundation.org,2020 registry survey; registry: Yes
Foundation for Sarcoidosis Research,,https://www.stopsarcoidosis.org/,2020 registry survey; registry: Website under maintence
GBS|CIDP Foundation International,,http://gbs-cidp.org/,2020 registry survey; registry: Yes
Hepatitis Delta Connect - Hepatitis B Foundation,,www.hepdconnect.org,2020 registry survey; registry: No
"Histiocytosis Association, Inc",,http://histio.org/,2020 registry survey; registry: No
Life Raft Group,,liferaftgroup.org,2020 registry survey; registry: Yes
Mila's Miracle Foundation,,www.stopbatten.org,2020 registry survey; registry: No
"Myelodysplastic Syndromes Foundation, Inc",,http://mds-foundation.org,2020 registry survey; registry: Yes?
Myositis Association,,http://myositis.org/,2020 registry survey; registry: No
Myotonic Dystrophy Foundation,,http://myotonic.org/,2020 registry survey; registry: Yes
National Pku Alliance,,http://npkua.org/,2020 registry survey; registry: Yes
National Tay-Sachs & Allied Diseases Association,,http://ntsad.org,2020 registry survey; registry: No
Platelet Disorder Support Association,,http://pdsa.org/,2020 registry survey; registry: No
Prader-Willi Syndrome Association (USA),,http://pwsausa.org/,2020 registry survey; registry: No
PSC Partners Seeking a Cure,,http://pscpartners.org/,2020 registry survey; registry: Yes
Vasculitis Foundation,,http://vasculitisfoundation.org/,2020 registry survey; registry: Yes
Williams Syndrome Association,,http://williams-syndrome.org,2020 registry survey; registry: Yes
American Porphyria Foundation,,http://porphyriafoundation.com/,2020 registry survey; registry: Yes
ASXL Rare Research Endowment Foundation,,www.arrefoundation.org,2020 registry survey; registry: Yes
Batten Disease Support & Research Association,,http://bdsra.org/,2020 registry survey; registry: Yes
Children's Craniofacial Association,,http://ccakids.com/,2020 registry survey; registry: No
"Cornelia de Lange Syndrome Foundation, Inc",,http://cdlsusa.org/,2020 registry survey; registry: No
Desmoid Tumor Research Foundation,,http://dtrf.org/,2020 registry survey; registry: Yes
Myocarditis Foundation,,http://myocarditisfoundation.org/,2020 registry survey; registry: No
National Foundation for Ectodermal Dysplasias,,https://www.nfed.org/,2020 registry survey; registry: Yes
Neurofibromatosis Northeast,,http://nfnortheast.org/,2020 registry survey; registry: Yes
Oley Foundation,,http://oley.org,2020 registry survey; registry: Yes
"Parent to Parent New Zealand, Inc",,http://www.parent2parent.org.nz/,2020 registry survey; registry: No
Reflex Sympathetic Dystrophy Syndrome Association,,http://rsds.org/,2020 registry survey; registry: No
Sanfilippo Children's Foundation,,http://www.sanfilippo.org.au/,2020 registry survey; registry: Yes
Siegel Rare Neuroimmune Association,,https://wearesrna.org/,2020 registry survey; registry: Yes
Spastic Paraplegia Foundation,,https://sp-foundation.org/,2020 registry survey; registry: No
Sudden Unexplained Death in Childhood Foundation,,https://www.sudc.org,2020 registry survey; registry: yes
VHL Alliance,,http://vhl.org/,2020 registry survey; registry: Yes
Alport Syndrome Foundation,,http://alportsyndrome.org/,2020 registry survey; registry: Yes
Alternating Hemiplegia of Childhood Foundation,,http://ahckids.org/,2020 registry survey; registry: Yes
Amyloidosis Foundation,,http://amyloidosis.org/,2020 registry survey; registry: No
Angioma Alliance,,Angioma.org,2020 registry survey; registry: Yes
Charlotte & Gwenyth Gray Foundation to Cure Batten Disease at The Giving Back Fund,,http://curebatten.org,2020 registry survey; registry: No
Cure Cmd,,www.curecmd.org,2020 registry survey; registry: Yes
Foundation for Ichthyosis and Related Skin Types,,http://firstskinfoundation.org/,2020 registry survey; registry: Yes
Global Foundation for Peroxisomal Disorders,,http://thegfpd.org/,2020 registry survey; registry: No
Hereditary Neuropathy Foundation,,http://hnf-cure.org/,2020 registry survey; registry: Yes
International Pemphigus & Pemphigoid Foundation,,http://pemphigus.org/,2020 registry survey; registry: Yes
"Mastocytosis Society, Inc",,http://tmsforacure.org/,2020 registry survey; registry: Yes
National Niemann-Pick Disease Foundation,,http://nnpdf.org/,2020 registry survey; registry: Yes
Phelan-McDermid Syndrome Foundation,,https://www.pmsf.org/,2020 registry survey; registry: Yes
RYR1 Foundation,,http://ryr1.org,2020 registry survey; registry: Yes
Sickle Cell Association of Texas Marc Thomas Foundation,,www.sicklecelltx.org,2020 registry survey; registry: No
TargetCancer Foundation,,http://targetcancerfoundation.org,2020 registry survey; registry: No
Turner Syndrome Society of the United States,,http://turnersyndrome.org/,2020 registry survey; registry: Yes
Wilson Disease Association,,http://wilsonsdisease.org/,2020 registry survey; registry: Yes
A Cure For Ellie,,www.ACureforEllie.org,2020 registry survey; registry: No
American Partnership for Eosinophilic Disorders,,http://apfed.org/,2020 registry survey; registry: Yes
"Amyloidosis Support Groups, Inc",,http://amyloidosissupport.org/,2020 registry survey; registry: Yes
Appendix Cancer Pseudomyxoma Peritonei Research Foundation,,http://acpmp.org/,2020 registry survey; registry: Yes
Chromosome 18 Registry & Research Society,,http://chromosome18.org/,2020 registry survey; registry: Yes
Congenital Central Hypoventilation Syndrome Family Network,,http://cchsnetwork.org,2020 registry survey; registry: Yes
Congenital Hyperinsulinism International,,http://congenitalhi.org/,2020 registry survey; registry: Yes
CSNK2A1 Foundation,,www.csnk2a1foundation.org,2020 registry survey; registry: Yes - contact registry
"Cystinosis Research Network, Inc",,http://cystinosis.org/,2020 registry survey; registry: No
Dup15q Alliance,,http://dup15q.org/,2020 registry survey; registry: Yes
Erdheim-Chester Disease Global Alliance,,http://erdheim-chester.org/,2020 registry survey; registry: Yes
FamilieSCN2A Foundation,,http://scn2a.org/,2020 registry survey; registry: Yes
Fibrous Dysplasia Foundation,,http://fibrousdysplasia.org/,2020 registry survey; registry: Yes
