org_name,gene,url,country,org_type,coalitions,notes
Batten Disease Support and Research Association,CLN3;CLN5;CLN6;CLN8;PPT1;TPP1;MFSD8,https://www.bdsra.org,US,foundation,REN,RELA 2019 profile; founded 1998; 501c3 OH
BPAN Warriors,WDR45,https://www.bpanwarriors.org/,US,foundation,REN,RELA 2019 profile; founded 2018; 501c3 FL
Bridge the Gap - SYNGAP Education and Research Foundation,SYNGAP1,https://bridgesyngap.org,US,foundation,REN,RELA 2019 profile; founded 2014; 501c3 TX
CFC International,BRAF;MAP2K1;MAP2K2;KRAS,https://www.cfcsyndrome.org,US,foundation,REN,RELA 2019 profile; founded 1999; 501c3 NY
Christianson Syndrome Association,SLC9A6,https://www.csa-cares.org,US,foundation,REN,RELA 2019 profile; founded 2011; 501c3 TX
CureGRIN Foundation,GRIN1;GRIN2A;GRIN2B;GRIN2D,https://www.curegrin.org,US,foundation,REN,RELA 2019 profile; founded 2019; 501c3 CO
DDX3X Foundation,DDX3X,https://www.ddx3x.org,US,foundation,REN,RELA 2019 profile; founded 2018; 501c3 DE
DNM1 dynamos - Connecting DNM1 Families,DNM1,https://www.facebook.com/groups/1065172710162616/,US,family group,REN,RELA 2019 profile; founded 2015; Non incorporated support group
Doose Syndrome Epilepsy Alliance,,https://www.doosesyndrome.org,US,foundation,REN,RELA 2019 profile; founded 2002; 501c3 CO; no gene assigned (phenotype-defined or CNV)
Dravet Syndrome Foundation,SCN1A,https://www.dravetfoundation.org,US,foundation,REN,RELA 2019 profile; founded 2009; 501c3 CT
Dup15q Alliance,,https://www.dup15q.org,US,foundation,REN,RELA 2019 profile; founded 2004; 501c3 OR; no gene assigned (phenotype-defined or CNV)
FamilieSCN2A Foundation,SCN2A,https://www.scn2a.org,US,foundation,REN,RELA 2019 profile; founded 2014; 501c3 MA
Glut1 Deficiency Foundation,SLC2A1,https://www.g1dfoundation.org,US,foundation,REN,RELA 2019 profile; founded 2011; 501c3 IND
GRIN2B Foundation,GRIN2B,https://www.grin2b.com,US,foundation,REN,RELA 2019 profile; founded 2017; 501c3 ILL
Hope4Harper,CDKL5,https://www.hope4harper.com,US,foundation,REN,RELA 2019 profile; founded 2012; 501c3 TX
International Foundation for CDKL5 Research,CDKL5,https://www.cdkl5.com,US,foundation,REN,RELA 2019 profile; founded 2009; 501c3 OH
LGS Foundation,,https://www.lgsfoundation.org,US,foundation,REN,RELA 2019 profile; founded 2008; 501c3 NY; no gene assigned (phenotype-defined or CNV)
Lissencephaly Foundation Inc,PAFAH1B1;DCX;TUBA1A,http://lissfoundation.org/,US,foundation,REN,RELA 2019 profile; founded 2019; 501c3 Pending CA
Mickie's Miracles,,https://www.mickiesmiracles.org,US,foundation,REN,RELA 2019 profile; founded 2016; 501c3 CA; no gene assigned (phenotype-defined or CNV)
NORSE Institute,,http://www.norseinstitute.org,US,family group,REN,RELA 2019 profile; founded 2015; Non incorporated Support or other Group; no gene assigned (phenotype-defined or CNV)
Phelan-McDermid Syndrome Foundation,SHANK3,https://www.pmsf.org/,US,foundation,REN,RELA 2019 profile; founded 2013; 501c3 FL
Project 8p,,https://www.project8p.org,US,foundation,REN,RELA 2019 profile; founded 2019; 501c3 DE; no gene assigned (phenotype-defined or CNV)
PVNH Support & Awareness,FLNA,https://www.PVNHSupport.com,US,family group,REN,RELA 2019 profile; founded 2009; Non Incorporated Support or Other
Ring Chromosome 20 Alliance,,https://www.facebook.com/pg/RC20Alliance/about/?ref=page_internal,US,foundation,REN,RELA 2019 profile; founded 2015; 501c3 PA; no gene assigned (phenotype-defined or CNV)
Ring14 USA,,https://www.ring14usa.org,US,foundation,REN,RELA 2019 profile; founded 2011; 501c3 CA; no gene assigned (phenotype-defined or CNV)
SLC6A1 Connect.,SLC6A1,https://slc6a1connect.org,US,foundation,REN,RELA 2019 profile; founded 2018; 501c3 CO
SynGAP Research Fund,SYNGAP1,https://www.syngapresearchfund.com,US,foundation,REN,RELA 2019 profile; founded 2018; 501c3 CA
The Bow Foundation,GNAO1,https://gnao1.org/,US,foundation,REN,RELA 2019 profile; founded 2017; 501c3 VA
The Brain Recovery Project: Childhood Epilepsy Surgery Foundation,,https://www.brainrecoveryproject.org,US,foundation,REN,RELA 2019 profile; founded 2011; 501c3 CA; no gene assigned (phenotype-defined or CNV)
The Cute Syndrome,SCN8A,https://www.thecutesyndrome.com,US,foundation,REN,RELA 2019 profile; founded 2014; 501c3 MD
The TBCK Foundation,TBCK,https://www.tbckfoundation.com,US,foundation,REN,RELA 2019 profile; founded 2019; 501c3 ILL
Tuberous Sclerosis Alliance,TSC1;TSC2,https://www.tsalliance.org,US,foundation,REN,RELA 2019 profile; founded 1975; 501c3 CA
Wishes for Elliott: Advancing SCN8A Research,SCN8A,https://www.wishesforelliott.org,US,foundation,REN,RELA 2019 profile; founded 2015; 501c3 DC
