name,group,condition_page_url,latest_report_url
15q11.2 BP1-BP2 Deletion,CNV,https://www.simonssearchlight.org/research/what-we-study/15q11-2-bp1-bp2-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115330/15q11.2-BP1-BP2-deletion-25Q3.pdf
15q13.3 Deletion,CNV,https://www.simonssearchlight.org/research/what-we-study/15q13-3-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115336/15q13.3-deletion-25Q3.pdf
16p11.2 Deletion,CNV,https://www.simonssearchlight.org/research/what-we-study/16p11-2-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115334/16p11.2-deletion-25Q3.pdf
16p11.2 Deletion (Distal),CNV,https://www.simonssearchlight.org/research/what-we-study/16p11-2-distal-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115423/Distal-16p11.2-deletion-25Q3.pdf
16p11.2 Duplication,CNV,https://www.simonssearchlight.org/research/what-we-study/16p11-2-duplications/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115324/16p11.2-duplication-25Q3.pdf
16p11.2 Duplication (Distal),CNV,https://www.simonssearchlight.org/research/what-we-study/16p11-2-duplication-distal/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115419/Distal-16p11.2-duplication-25Q3.pdf
16p12.2 Deletion,CNV,https://www.simonssearchlight.org/research/what-we-study/16p12-2-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115508/16p12.2-deletion-25Q3.pdf
16p13.11 Deletion,CNV,https://www.simonssearchlight.org/research/what-we-study/16p13-11-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115335/16p13.11-deletion-25Q3.pdf
17q12 Duplication,CNV,https://www.simonssearchlight.org/research/what-we-study/17q12-duplication/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115446/17q12-duplication-25Q3.pdf
17q21.31 Deletion,CNV,https://www.simonssearchlight.org/research/what-we-study/17q21-3-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115427/17q21.31-deletion-KANSL1-25Q3.pdf
1q21.1 Deletion,CNV,https://www.simonssearchlight.org/research/what-we-study/1q21-1-deletions/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115329/1q21.1-deletion-25Q3.pdf
1q21.1 Duplication,CNV,https://www.simonssearchlight.org/research/what-we-study/1q21-1-duplications/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115321/1q21.1-duplication-25Q3.pdf
2p16.3 Deletion,CNV,https://www.simonssearchlight.org/research/what-we-study/2p16-3-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115332/2p16.3-deletion-NRXN1-25Q3.pdf
5p Deletion,CNV,https://www.simonssearchlight.org/research/what-we-study/5p-deletion/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115413/5p-deletion-25Q3.pdf
