hgnc_id,gene,pubmed_hits,pubmed_query,as_of
HGNC:20,AARS1,43,"(""AARS1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:21022,AARS2,72,"(""AARS2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:23,ABAT,97,"(""ABAT""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:32,ABCA2,96,"(""ABCA2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:60,ABCC9,134,"(""ABCC9""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13921,ABHD16A,15,"(""ABHD16A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:23339,ACBD6,13,"(""ACBD6""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:119,ACOX1,230,"(""ACOX1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:132,ACTB,959,"(""ACTB""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:144,ACTG1,162,"(""ACTG1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:160,ACTL6B,20,"(""ACTL6B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:177,ACY1,74,"(""ACY1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:201,ADAM22,75,"(""ADAM22""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:225,ADAR,764,"(""ADAR""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:226,ADARB1,56,"(""ADARB1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:25151,ADAT3,18,"(""ADAT3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:236,ADCY5,164,"(""ADCY5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4512,ADGRG1,94,"(""ADGRG1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:20973,ADGRL1,20,"(""ADGRL1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:15766,ADNP,218,"(""ADNP""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:21304,ADPRS,28,"(""ADPRS""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:291,ADSL,133,"(""ADSL""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:7137,AFDN,31,"(""AFDN""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6473,AFF3,79,"(""AFF3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18119,AFG2A,2,"(""AFG2A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:28762,AFG2B,1,"(""AFG2B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:315,AFG3L2,99,"(""AFG3L2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:318,AGA,7122,"(""AGA""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:33784,AGMO,18,"(""AGMO""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3262,AGO1,244,"(""AGO1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:25230,AHDC1,39,"(""AHDC1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:10648,AIMP1,82,"(""AIMP1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:391,AKT1,5096,"(""AKT1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:393,AKT3,721,"(""AKT3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:403,ALDH3A2,116,"(""ALDH3A2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:408,ALDH5A1,107,"(""ALDH5A1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:877,ALDH7A1,206,"(""ALDH7A1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18294,ALG1,68,"(""ALG1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:32456,ALG11,25,"(""ALG11""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:19358,ALG12,39,"(""ALG12""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:30881,ALG13,47,"(""ALG13""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:28287,ALG14,18,"(""ALG14""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:23159,ALG2,168,"(""ALG2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:23056,ALG3,81,"(""ALG3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:23157,ALG6,46,"(""ALG6""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:23161,ALG8,50,"(""ALG8""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:15672,ALG9,44,"(""ALG9""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:25189,ALKBH8,31,"(""ALKBH8""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:438,ALPL,701,"(""ALPL""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:451,AMACR,629,"(""AMACR""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:469,AMPD2,42,"(""AMPD2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:473,AMT,1674,"(""AMT""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:493,ANK2,129,"(""ANK2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:494,ANK3,201,"(""ANK3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:15492,ANKH,153,"(""ANKH""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:21316,ANKRD11,162,"(""ANKRD11""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:23575,ANKRD17,19,"(""ANKRD17""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:23837,ANO4,13,"(""ANO4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:555,AP1G1,17,"(""AP1G1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:564,AP2M1,55,"(""AP2M1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:567,AP3B2,28,"(""AP3B2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:568,AP3D1,20,"(""AP3D1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:572,AP4B1,31,"(""AP4B1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:574,AP4M1,39,"(""AP4M1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:24036,APC2,145,"(""APC2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:652,ARF1,627,"(""ARF1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:654,ARF3,82,"(""ARF3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:15772,ARFGEF1,12,"(""ARFGEF1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:15853,ARFGEF2,36,"(""ARFGEF2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:663,ARG1,1369,"(""ARG1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:674,ARHGAP4,43,"(""ARHGAP4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:14561,ARHGEF9,43,"(""ARHGEF9""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:11110,ARID1A,1749,"(""ARID1A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18040,ARID1B,362,"(""ARID1B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:713,ARSA,494,"(""ARSA""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29561,ARV1,33,"(""ARV1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18060,ARX,539,"(""ARX""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:735,ASAH1,153,"(""ASAH1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:19088,ASH1L,99,"(""ASH1L""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:753,ASNS,303,"(""ASNS""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:756,ASPA,245,"(""ASPA""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:19048,ASPM,385,"(""ASPM""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:773,ASTN1,39,"(""ASTN1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:23805,ASXL2,77,"(""ASXL2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29357,ASXL3,86,"(""ASXL3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:25903,ATAD1,35,"(""ATAD1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3033,ATN1,86,"(""ATN1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:30213,ATP13A2,302,"(""ATP13A2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:799,ATP1A1,254,"(""ATP1A1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:800,ATP1A2,274,"(""ATP1A2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:801,ATP1A3,308,"(""ATP1A3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:814,ATP2B1,115,"(""ATP2B1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:815,ATP2B2,52,"(""ATP2B2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:823,ATP5F1A,26,"(""ATP5F1A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:838,ATP5F1E,3,"(""ATP5F1E""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:843,ATP5MC3,9,"(""ATP5MC3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:850,ATP5PO,7,"(""ATP5PO""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18305,ATP6AP2,82,"(""ATP6AP2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:865,ATP6V0A1,26,"(""ATP6V0A1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18481,ATP6V0A2,57,"(""ATP6V0A2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:855,ATP6V0C,41,"(""ATP6V0C""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:851,ATP6V1A,63,"(""ATP6V1A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:854,ATP6V1B2,48,"(""ATP6V1B2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:869,ATP7A,631,"(""ATP7A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:886,ATRX,1460,"(""ATRX""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:14262,AUTS2,137,"(""AUTS2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:28596,B3GALNT2,27,"(""B3GALNT2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:15685,B4GAT1,7,"(""B4GAT1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:947,BAIAP2,47,"(""BAIAP2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:950,BAP1,1545,"(""BAP1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:963,BAZ2B,44,"(""BAZ2B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:14347,BCAS3,50,"(""BCAS3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:986,BCKDHA,108,"(""BCKDHA""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:987,BCKDHB,86,"(""BCKDHB""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:16902,BCKDK,66,"(""BCKDK""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13221,BCL11A,614,"(""BCL11A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1020,BCS1L,69,"(""BCS1L""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:17208,BICD2,137,"(""BICD2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:26953,BLTP1,3,"(""BLTP1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:701,BMAL1,1224,"(""BMAL1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:24415,BOLA3,46,"(""BOLA3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:17950,BORCS5,7,"(""BORCS5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3581,BPTF,135,"(""BPTF""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1097,BRAF,20184,"(""BRAF""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:21701,BRAT1,48,"(""BRAT1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:15832,BSCL2,210,"(""BSCL2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1117,BSN,1455,"(""BSN""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1122,BTD,305,"(""BTD""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29521,C12orf57,10,"(""C12orf57""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
