gene,platform,registry_name,registry_url,platform_basis,notes,platform_url
ADNP,Foundation-hosted,ADNP Kids registry,,platform description,,
ADNP,Citizen Health,,,platform description,,https://www.citizen.health/
ADNP,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
ADNP,Sanford CoRDS,,,platform description,recorded under: ADNP syndrome,https://research.sanfordhealth.org/rare-disease-registry
ARID1B,Foundation-hosted,CSS Foundation registry,,platform description,,
ARID1B,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
ARID1B,Sanford CoRDS,,,platform description,recorded under: Coffin-Siris syndrome,https://research.sanfordhealth.org/rare-disease-registry
ARX,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
ARX,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
CACNA1A,Foundation-hosted,"CACNA1A Foundation registry (in development); CACNA1A Foundation, in development",https://www.cacna1a.org/participate-research,own website,,
CACNA1A,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
CACNA1A,Sanford CoRDS,,,platform description,recorded under: CACNA1A gene mutation,https://research.sanfordhealth.org/rare-disease-registry
CDKL5,Foundation-hosted,International CDKL5 Disorder Database (ICDD),https://cdkl5.com/help-our-researchers,own website,,
CDKL5,REDCap,"ICDD, International CDKL5 Disorder Database, U Western Australia",,platform description,,
CDKL5,Sanford CoRDS,,,platform description,recorded under: CDKL5-related epileptic encephalopathy,https://research.sanfordhealth.org/rare-disease-registry
CDKL5,ClinicalTrials.gov,,,platform description,,
CHD2,RARE-X,Citizen Health partnership,https://www.curechd2.org/rare-x,registry URL host,,https://globalgenes.org/rare-x/
CHD2,Citizen Health,,,platform description,,https://www.citizen.health/
CHD2,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
CHD2,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
CHD2,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
CLN3,Foundation-hosted,DEM-CHILD database (international Batten registry); BDSRA registry,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,own website,,
CLN3,REDCap,DEM-CHILD international Batten DB,,platform description,,
CLN3,NIH RDCRN,"UBDRC, University Batten Disease Research Consortium",,platform description,,https://www.rarediseasesnetwork.org/
CLN3,Sanford CoRDS,,,platform description,recorded under: Juvenile neuronal ceroid lipofuscinosis,https://research.sanfordhealth.org/rare-disease-registry
CSNK2A1,Foundation-hosted,CSNK2A1 Foundation registry,https://www.csnk2a1foundation.org/contact-registry,own website,,
CSNK2A1,REDCap,Brain Gene Registry,,platform description,,
CSNK2A1,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
