org_name,gene,url,coalition,as_of,org_scope,source_note
16p11.2 Genetic Foundation,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Aicardi Syndrome Foundation,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Alliance to Cure Cavernous Malformation,KRIT1;CCM2;PDCD10,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Alternating Hemiplegia of Childhood Foundation,ATP1A3,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Angelman Syndrome Foundation,UBE3A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Association for Creatine Deficiencies,GAMT;GATM;SLC6A8,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Association for Rare Neurodevelopmental Disorders (Norway),,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
"ASXL Rare Research Endowment Foundation (Bohring-Opitz Syndrome, Shashi-Pena Syndrome, Bainbridge-Ropers Syndrome)",ASXL1;ASXL2;ASXL3,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
AUTS2 Research Foundation,AUTS2,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Batten Disease Support & Research Association (BDSRA)(CLN1-CLN14),PPT1;TPP1;CLN3;CLN5;CLN6;CLN8;MFSD8;KCTD7;GRN,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Beta Spectrin Foundation (SPTBN1),SPTBN1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
BPAN Warriors,WDR45,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CACNA1H Alliance,CACNA1H,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CACNA1A Foundation,CACNA1A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CASK Gene Foundation,CASK,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CASK Warriors Foundation Inc,CASK,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CDG Care,PMM2;ALG13;SLC35A2;PIGA;PIGN,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CFC International Cardio-Facio-Cutaneous Syndrome,BRAF;MAP2K1;MAP2K2;KRAS,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CHAMP1 Research Foundation,CHAMP1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
"Channeling Hope [NALCN Channel  and associated proteins (UNC79, UNC80, FAM155)]",NALCN;UNC79;UNC80;FAM155A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Chelsea's Hope Lafora Children Research Fund,EPM2A;NHLRC1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
"Chopra-Amiel-Gordon Syndrome (CAGS) Foundation, Inc. (ANKRD17)",ANKRD17,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Chromosome 9p minus Network,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CMCD Foundation (Cortical Malformation & Cephalic Disorder Foundation),,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CNV Commission (Copy Number Variant),,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Coalition to Cure CHD2,CHD2,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
"Consortium for Understanding, Research, and Education in X-linked Neurodevelopmental Disorders (CURE-NDD)",,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
"Cornelia de Lange Syndrome Foundation, Inc.",NIPBL;SMC1A;SMC3;RAD21;HDAC8,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CRELD1 Warriors,CRELD1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Cri du Chat Research Foundation,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CSNK2A1 Foundation,CSNK2A1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CSNK2B Foundation (Poirier-Bienvenu neurodevelopmental syndrome (POBINDS)),CSNK2B,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CTNNB1 Connect & Cure,CTNNB1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CUL3C Support & Awareness,CUL3,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Cure AHC,ATP1A3,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Cure CLCN6,CLCN6,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Cure DHDDS,DHDDS,,REN,2026-09,international,Listed on the Rare Epilepsy Network member roster
Cure DHDDS USA,DHDDS,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CURE Epilepsy,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Cure GABA-A,GABRA1;GABRB2;GABRB3;GABRG2,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Cure GABRB2,GABRB2,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Cure KCNH1 Foundation,KCNH1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
CURE5 Foundation,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
